Part,1,2,3,4,5,6,7
P1,B: 50.0,A: 10.0,B: 50.0,C: 5.0,D: 25.0,I: 13.0,J: 25.0
P10,E: 4.0,F: 4.0,I: 3.0,J: 5.0,,,
P11,E: 10.0,G: 3.0,E: 10.0,G: 3.0,I: 3.0,,
P12,E: 5.0,G: 3.0,F: 5.0,I: 6.0,J: 11.0,,
P13,E: 3.0,F: 6.0,G: 2.0,F: 6.0,G: 2.0,H: 5.0,I: 3.0
P14,E: 9.0,F: 13.0,G: 5.0,H: 15.0,,,
P15,E: 1.0,G: 1.0,F: 2.0,H: 3.0,J: 3.0,,
P16,F: 8.0,H: 29.0,I: 8.0,J: 15.0,,,
P17,K: 2.0,L: 8.0,M: 9.0,,,,
P18,K: 8.0,L: 8.0,K: 8.0,M: 22.0,,,
P19,L: 41.0,M: 60.0,L: 41.0,M: 60.0,,,
P2,A: 7.0,C: 3.0,D: 14.0,H: 6.0,J: 14.0,,
P20,L: 14.0,K: 6.0,M: 21.0,,,,
P3,B: 6.0,D: 9.0,C: 3.0,I: 5.0,J: 8.0,,
P4,A: 5.0,B: 9.0,D: 14.0,G: 2.0,H: 6.0,,
P5,B: 5.0,C: 3.0,D: 12.0,I: 6.0,,,
P6,A: 2.0,B: 3.0,C: 1.0,D: 6.0,H: 2.0,I: 3.0,J: 6.0
P7,E: 7.0,F: 10.0,C: 5.0,D: 23.0,I: 9.0,J: 14.0,
P8,E: 3.0,H: 5.0,J: 2.0,I: 3.0,,,
P9,F: 8.0,G: 6.0,E: 6.0,G: 6.0,I: 6.0,J: 13.0,
