,Yearly Demand Forecast for Each Product in the +2 to +5 Year Horizon,,,,,,,,,,,,,,,,,,,,,,,,,
,Year,A1,A2,A3,B1,B2,A4,B3,B4,Total,,,,,,,,,,,,,,,,
,+2,78000,104000,140400,72800,93600,52000,26000,62400,629200,,,,,,,,,,,,,,,,
,+3,62400,78000,150800,83200,109200,78000,52000,78000,691600,,,,,,,,,,,,,,,,
,+4,46800,52000,161200,93600,124800,104000,78000,93600,754000,,,,,,,,,,,,,,,,
,+5,26000,26000,171600,104000,140400,156000,104000,114400,842400,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Standard Deviation on Each Year's Demand Forecast for Each Product in the +2 to +5 Year Horizon,,,,,,,,,,,,,,,,,,,,,,,,,
,Year,A1,A2,A3,B1,B2,A4,B3,B4,Overall,,,,,,,,,,,,,,,,
,+2,1442.2205101855957,1442.2205101855957,2884.4410203711914,1802.7756377319947,1081.6653826391969,1442.2205101855957,721.1102550927978,540.8326913195984,4448.876262608345,,,,,,,,,,,,520000.0,2080000.0,4680000.000000001,2080000.0,520000.0
,+3,721.1102550927978,1081.6653826391969,3605.5512754639894,2163.3307652783938,1442.2205101855957,2163.3307652783938,1297.9984591670361,793.2212806020776,5333.291666503906,,,,,,,,,,,52.0,27040000.0,108160000.0,243360000.00000006,108160000.0,27040000.0
,+4,721.1102550927978,1081.6653826391969,4326.6615305567875,2884.4410203711914,1802.7756377319947,2884.4410203711914,1442.2205101855957,901.3878188659974,6572.1001209659,,,,,,,,,,,,5200.0,10400.0,15600.000000000002,10400.0,5200.0
,+5,721.1102550927978,721.1102550927978,5047.771785649585,3605.5512754639894,2163.3307652783938,3605.5512754639894,1586.4425612041553,1081.6653826391969,7802.99942329871,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Expected Average Weekly Demand for Each Product in the +2 to +5 Year Horizon,,,,,,,,,,,,,,,,,,,,,,,,,
,Year,A1,A2,A3,B1,B2,A4,B3,B4,Total,,,,,,,,,,,,,,,,
,+2,1500,2000,2700,1400,1800,1000,500,1200,12100,,,,,,,,,,,,,,,,
,+3,1200,1500,2900,1600,2100,1500,1000,1500,13300,,,,,,,,,,,,,,,,
,+4,900,1000,3100,1800,2400,2000,1500,1800,14500,,,,,,,,,,,,,,,,
,+5,500,500,3300,2000,2700,3000,2000,2200,16200,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Expected Coefficient of Variation of Weekly Demand for Each Product in the +2 to +5 Year Horizon,,,,,,,,,,,,,,,,,,,,,,,,,
,Year,A1,A2,A3,B1,B2,A4,B3,B4,Average,,,,,,,,,,,,,,,,
,+2,0.15,0.2,0.2,0.12,0.18,0.25,,0.08,0.1685714285714286,,,,,,,,,,,,,,,,
,+3,0.15,0.2,0.2,0.12,0.18,0.25,0.15,0.08,0.16625,,,,,,,,,,,,,,,,
,+4,0.15,0.2,0.2,0.12,0.18,0.25,0.15,0.08,0.16625,,,,,,,,,,,,,,,,
,+5,0.15,0.2,0.2,0.12,0.18,0.25,0.15,0.08,0.16625,,,,,,,,,,,,,,,,
,2029,0.15,0.2,0.2,0.12,0.18,0.25,0.15,0.08,0.16625,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025 Demand Forecast for Each Product,,,,,,,,,,,,
,Year,A1,A2,A3,A4,A5,Total,,,,,,
,2025,50000,100000,130000,60000,80000,420000,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Standard Deviation on 2025 Demand Forecast for Each Product,,,,,,,,,,,,
,Year,A1,A2,A3,A4,A5,Overall,,,,,,
,2025,100,200,300,200,100,447,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Expected Average Weekly Demand for Each Product in the +2 to +5 Year Horizon,,,,,,,,,,,,,,,,,,,,,,,,,
,Year,A1,A2,A3,A4,A5,Total,,,,,,
,2025,961.5384615384615,1923.076923076923,2500,1153.8461538461538,1538.4615384615386,8076.923076923078,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Expected Coefficient of Variation of Weekly 2025 Demand for Each Product,,,,,,,,,,,,
,Year,A1,A2,A3,A4,A5,Average,,,,,,
,2025,0.15,0.2,0.2,0.12,0.18,0.17,,,,,,
