Equipment,Installed price,Relocation cost,Useful life (years),Number of operators
A,150000,10000,10,1 C1+1/4 C2
B,200000,10000,10,1 C1+1/4 C2
C,250000,10000,10,1 C1+1/4 C2
D,300000,10000,10,1 C1+1/4 C2
AB,250000,10000,10,1 C1+1/4 C2
AC,280000,10000,10,1 C1+1/4 C2
CD,350000,10000,10,1 C1+1/4 C2
ABC,300000,10000,10,1 C1+1/4 C2
ABCD,400000,10000,10,1 C1+1/4 C2
E,400000,50000,10,1 C1 + 1/2 C3
F,400000,50000,10,1 C1 + 1/2 C3
G,400000,50000,10,1 C1 + 1/2 C3
EF,450000,50000,10,1 C1 + 1/2 C3
EG,450000,50000,10,1 C1 + 1/2 C3
FG,450000,50000,10,1 C1 + 1/2 C3
EFG,500000,50000,10,1 C1 + 1/2 C3
H,1000000,100000,15,2 C3
I,500000,100000,15,2 C3
J,500000,100000,15,2 C3
IJ,750000,100000,15,2 C3
K,80000,2000,8,1/2 C2
L,100000,2000,8,1/2 C2
M,50000,2000,8,1/2 C2
KL,140000,2000,8,1/2 C2
KM,100000,2000,8,1/2 C2
LM,120000,2000,8,1/2 C2
KLM,150000,2000,8,1/2 C2
,,,,
Operator,Hourly Cost,,,
C1,20,,,
C2,40,,,
C3,60,,,
