Georgia Tech ISYE 6202 + 6336 FALL 2025,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Professor Benoit Montreuil,,,,,,,,
CASEWORK 3: FaMoaSa FaMoaSa Manufacturing & Warehousing Facility Design,,,,,,,,
Parts Specifications,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,Process,,,,,,
,Part,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7
,P1,B,A,B,C,D,I,J
,P2,A,C,D,H,J,,
,P3,B,D,C,I,J,,
,P4,A,B,D,G,H,,
,P5,B,C,D,I,,,
,P6,A,B,C,D,H,I,J
,P7,E,F,C,D,I,J,
,P8,E,H,J,I,,,
,P9,F,G,E,G,I,J,
,P10,E,F,I,J,,,
,P11,E,G,E,G,I,,
,P12,E,G,F,I,J,,
,P13,E,F,G,F,G,H,I
,P14,E,F,G,H,,,
,P15,E,G,F,H,J,,
,P16,F,H,I,J,,,
,P17,K,L,M,,,,
,P18,K,L,K,M,,,
,P19,L,M,L,M,,,
,P20,L,K,M,,,,
,,,,,,,,
,,,,,,,,
,Part,Dimensions,,,,Materials,,
,Identifier,X (in.),Y (in.),Z (in.),Weight (lbs),Price/unit,,
,P1,2,6,6,2,12,,
,P2,8,8,4,14,100,,
,P3,6,6,6,6,50,,
,P4,12,6,4,16,120,,
,P5,8,4,6,5,50,,
,P6,2,8,6,3,15,,
,P7,2,2,12,1,25,,
,P8,4,4,4,1,20,,
,P9,2,4,12,2,40,,
,P10,4,4,4,1,20,,
,P11,4,6,4,2,30,,
,P12,6,6,4,2,30,,
,P13,2,2,12,1,25,,
,P14,2,4,6,1,20,,
,P15,4,6,4,2,25,,
,P16,4,4,4,1,20,,
,P17,12,2,2,4,80,,
,P18,12,2,2,4,80,,
,P19,12,2,2,4,80,,
,P20,12,2,2,4,80,,
