Part,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7
P1,2.5,1,2.5,0.5,2.5,1.25,2.5
P2,1.25,0.5,2.5,1,2.5,,
P3,1.75,3,0.75,1.5,2.5,,
P4,1,2,3,0.25,1.25,,
P5,1.5,0.75,3.5,1.75,,,
P6,0.75,1.25,0.5,3,1,1.25,2.75
P7,1,1.5,0.75,3.5,1.25,2,
P8,1.25,2,0.5,1,,,
P9,1.75,0.75,1.25,0.5,1.25,3,
P10,1.5,1.75,1.25,2,,,
P11,1.25,0.5,1.25,0.25,0.75,,
P12,1,0.5,1,1.25,2.25,,
P13,1.25,1.25,0.5,1,0.25,2,1.25
P14,1,1.5,0.5,1.75,,,
P15,0.75,0.5,1.25,2.5,2.5,,
P16,1.25,5,1.25,2.5,,,
P17,0.75,3,3.5,,,,
P18,0.75,1.25,0.5,3.75,,,
P19,2.25,2.5,2,3.75,,,
P20,2,0.75,3,,,,
