Part,Annual_Demand_Units,Weekly_Demand_Units,Weekly_StdDev_Units,Total_Process_Time_Min,Required_Capacity_Min_Week,Safety_Stock_Units
P1,1090000.0,20961.53846153846,2235.1622857830666,12.75,303015.43694400834,5757.396513907364
P2,580000.0,11153.846153846152,1187.234866072815,9.0,113814.75667189952,3058.114358225311
P3,320000.0,6153.846153846154,619.2188245384032,9.5,66282.92342578058,1595.0019935551238
P4,480000.0,9230.76923076923,1106.623415898735,10.0,104657.24751439037,2850.4730226653437
P5,360000.0,6923.076923076923,1071.4144828603169,7.5,58869.701726844585,2759.780821198295
P6,210000.0,4038.4615384615386,572.3181605742359,13.0,59523.80952380953,1474.1938889603218
P7,720000.0,13846.153846153848,1895.7442216306908,10.0,156985.87127158555,4883.113518109834
P8,240000.0,4615.384615384615,553.8461538461538,4.75,24856.09628466771,1426.6131527347754
P9,460000.0,8846.153846153846,1261.6322666812866,8.5,85252.04953776381,3249.7493628204793
P10,240000.0,4615.384615384615,538.4924441680083,6.5,34013.60544217687,1387.064617427626
P11,420000.0,8076.923076923077,1144.6363211484718,4.0,36630.03663003663,2948.3877779206437
P12,520000.0,10000.0,1248.9285348678284,6.0,68027.21088435374,3217.026718150947
P13,260000.0,5000.0,624.4642674339142,7.5,42517.00680272109,1608.5133590754735
P14,940000.0,18076.923076923078,1936.568061801125,4.75,97353.04378161523,4988.268761904235
P15,120000.0,2307.6923076923076,276.9230769230769,7.5,19623.233908948194,713.3065763673877
P16,620000.0,11923.076923076924,2036.64650690365,10.0,135182.2780394209,5246.053753452929
P17,260000.0,5000.0,624.4642674339142,7.25,41099.773242630385,1608.5133590754735
P18,620000.0,11923.076923076924,1306.8096568704796,7.75,104766.2654805512,3366.118608327665
P19,1040000.0,20000.0,2230.5039630079305,10.5,238095.2380952381,5745.3974695977795
P20,770000.0,14807.692307692307,1736.1625370424238,8.0,134310.1343101343,4472.058338637678
