Year,Part,Safety_Stock_Units,Cycle_Stock_Units,Factory_Storage_Units,Warehouse_A_Units,Warehouse_B_Units,Part_Volume_CuFt
Year 1,P1,5757.40,10480.77,16238.17,740.38,923.08,0.04
Year 1,P2,3058.11,5576.92,8635.04,442.31,346.15,0.15
Year 1,P3,1595.00,3076.92,4671.93,0.00,923.08,0.12
Year 1,P4,2850.47,4615.38,7465.86,346.15,346.15,0.17
Year 1,P5,2759.78,3461.54,6221.32,346.15,0.00,0.11
Year 1,P6,1474.19,2019.23,3493.42,48.08,461.54,0.06
Year 1,P7,4883.11,6923.08,11806.19,384.62,923.08,0.03
Year 1,P8,1426.61,2307.69,3734.31,0.00,692.31,0.04
Year 1,P9,3249.75,4423.08,7672.83,442.31,0.00,0.06
Year 1,P10,1387.06,2307.69,3694.76,173.08,173.08,0.04
Year 1,P11,2948.39,4038.46,6986.85,96.15,923.08,0.06
Year 1,P12,3217.03,5000.00,8217.03,192.31,923.08,0.08
Year 1,P13,1608.51,2500.00,4108.51,96.15,461.54,0.03
Year 1,P14,4988.27,9038.46,14026.73,634.62,807.69,0.03
Year 1,P15,713.31,1153.85,1867.15,0.00,346.15,0.06
Year 1,P16,5246.05,5961.54,11207.59,596.15,0.00,0.04
Year 1,P17,1608.51,2500.00,4108.51,96.15,461.54,0.03
Year 1,P18,3366.12,5961.54,9327.66,288.46,923.08,0.03
Year 1,P19,5745.40,10000.00,15745.40,692.31,923.08,0.03
Year 1,P20,4472.06,7403.85,11875.90,567.31,519.23,0.03
Year 2,P1,6282.94,13050.00,19332.94,815.00,1470.00,0.04
Year 2,P2,3731.41,7700.00,11431.41,570.00,600.00,0.15
Year 2,P3,2451.48,6300.00,8751.48,100.00,1590.00,0.12
Year 2,P4,3090.24,5100.00,8190.24,370.00,420.00,0.17
Year 2,P5,3041.80,4450.00,7491.80,420.00,75.00,0.11
Year 2,P6,1916.31,4350.00,6266.31,75.00,1080.00,0.06
Year 2,P7,5312.99,8450.00,13762.99,400.00,1335.00,0.03
Year 2,P8,2313.99,6100.00,8413.99,100.00,1530.00,0.04
Year 2,P9,3542.49,5700.00,9242.49,520.00,150.00,0.06
Year 2,P10,1587.15,3400.00,4987.15,210.00,390.00,0.04
Year 2,P11,4389.97,7600.00,11989.97,350.00,1230.00,0.06
Year 2,P12,4565.92,9100.00,13665.92,450.00,1380.00,0.08
Year 2,P13,2413.63,4550.00,6963.63,250.00,615.00,0.03
Year 2,P14,5407.19,12300.00,17707.19,670.00,1680.00,0.03
Year 2,P15,1571.28,3000.00,4571.28,100.00,600.00,0.06
Year 2,P16,5658.39,6400.00,12058.39,640.00,0.00,0.04
Year 2,P17,2449.23,5400.00,7849.23,250.00,870.00,0.03
Year 2,P18,4281.41,8850.00,13131.41,450.00,1305.00,0.03
Year 2,P19,6280.54,12900.00,19180.54,740.00,1650.00,0.03
Year 2,P20,4931.80,10550.00,15481.80,605.00,1350.00,0.03
Year 3,P1,6599.91,13650.00,20249.91,790.00,1725.00,0.04
Year 3,P2,3666.24,7650.00,11316.24,530.00,705.00,0.15
Year 3,P3,3328.31,8500.00,11828.31,150.00,2100.00,0.12
Year 3,P4,3240.90,5250.00,8490.90,365.00,480.00,0.17
Year 3,P5,3256.90,4900.00,8156.90,440.00,150.00,0.11
Year 3,P6,2206.11,4950.00,7156.11,60.00,1305.00,0.06
Year 3,P7,4996.74,8450.00,13446.74,300.00,1635.00,0.03
Year 3,P8,3017.05,7950.00,10967.05,150.00,1935.00,0.04
Year 3,P9,3584.22,6150.00,9734.22,515.00,300.00,0.06
Year 3,P10,1669.46,3600.00,5269.46,205.00,465.00,0.04
Year 3,P11,5617.28,9400.00,15017.28,420.00,1560.00,0.06
Year 3,P12,5421.60,10850.00,16271.60,465.00,1860.00,0.08
Year 3,P13,2921.19,5300.00,8221.19,270.00,780.00,0.03
Year 3,P14,4978.08,12600.00,17578.08,590.00,2010.00,0.03
Year 3,P15,2192.27,3850.00,6042.27,150.00,705.00,0.06
Year 3,P16,6025.68,6550.00,12575.68,655.00,0.00,0.04
Year 3,P17,3012.77,6550.00,9562.77,270.00,1155.00,0.03
Year 3,P18,4634.82,9600.00,14234.82,390.00,1710.00,0.03
Year 3,P19,6619.79,13800.00,20419.79,730.00,1950.00,0.03
Year 3,P20,5119.21,11250.00,16369.21,585.00,1620.00,0.03
Year 4,P1,6980.78,14250.00,21230.78,765.00,1980.00,0.04
Year 4,P2,3675.92,7600.00,11275.92,490.00,810.00,0.15
Year 4,P3,4282.28,10700.00,14982.28,200.00,2610.00,0.12
Year 4,P4,3421.32,5400.00,8821.32,360.00,540.00,0.17
Year 4,P5,3530.13,5350.00,8880.13,460.00,225.00,0.11
Year 4,P6,2512.38,5550.00,8062.38,45.00,1530.00,0.06
Year 4,P7,4952.93,8450.00,13402.93,200.00,1935.00,0.03
Year 4,P8,3764.26,9800.00,13564.26,200.00,2340.00,0.04
Year 4,P9,3776.99,6600.00,10376.99,510.00,450.00,0.06
Year 4,P10,1765.93,3800.00,5565.93,200.00,540.00,0.04
Year 4,P11,6941.08,11200.00,18141.08,490.00,1890.00,0.06
Year 4,P12,6484.54,12600.00,19084.54,480.00,2340.00,0.08
Year 4,P13,3522.41,6050.00,9572.41,290.00,945.00,0.03
Year 4,P14,4779.18,12900.00,17679.18,510.00,2340.00,0.03
Year 4,P15,2830.32,4700.00,7530.32,200.00,810.00,0.06
Year 4,P16,6408.80,6700.00,13108.80,670.00,0.00,0.04
Year 4,P17,3681.39,7700.00,11381.39,290.00,1440.00,0.03
Year 4,P18,5166.58,10350.00,15516.58,330.00,2115.00,0.03
Year 4,P19,7021.27,14700.00,21721.27,720.00,2250.00,0.03
Year 4,P20,5385.44,11950.00,17335.44,565.00,1890.00,0.03
Year 5,P1,7419.52,14900.00,22319.52,735.00,2265.00,0.04
Year 5,P2,3727.20,7400.00,11127.20,430.00,930.00,0.15
Year 5,P3,5689.48,13450.00,19139.48,300.00,3135.00,0.12
Year 5,P4,3627.07,5550.00,9177.07,355.00,600.00,0.17
Year 5,P5,3994.53,6050.00,10044.53,505.00,300.00,0.11
Year 5,P6,2855.80,6250.00,9105.80,25.00,1800.00,0.06
Year 5,P7,5190.22,8500.00,13690.22,100.00,2250.00,0.03
Year 5,P8,5028.07,12300.00,17328.07,300.00,2790.00,0.04
Year 5,P9,4236.36,7300.00,11536.36,530.00,600.00,0.06
Year 5,P10,1874.88,4000.00,5874.88,190.00,630.00,0.04
Year 5,P11,9344.84,13900.00,23244.84,650.00,2220.00,0.06
Year 5,P12,8295.46,14900.00,23195.46,550.00,2820.00,0.08
Year 5,P13,4684.39,7200.00,11884.39,350.00,1110.00,0.03
Year 5,P14,4869.07,13400.00,18269.07,430.00,2730.00,0.03
Year 5,P15,4082.00,6100.00,10182.00,300.00,930.00,0.06
Year 5,P16,6805.07,6850.00,13655.07,685.00,0.00,0.04
Year 5,P17,4892.90,9300.00,14192.90,350.00,1740.00,0.03
Year 5,P18,5902.89,11150.00,17052.89,275.00,2520.00,0.03
Year 5,P19,7485.96,15750.00,23235.96,710.00,2595.00,0.03
Year 5,P20,5744.97,12850.00,18594.97,545.00,2220.00,0.03
