Scenario,Process,Units_Required,Equipment_per_Center,Num_Centers,Cost_Per_Unit,Total_Installed_Cost,Total_Relocation_Cost,Total_Process_Cost,Utilization_per_Center,Workload_per_Center_Min
f2,A,12,6,2,160000,1800000,120000,1920000,0.928356118088261,23581.730769230773
f2,B,36,18,2,210000,7200000,360000,7560000,0.9807200717418972,74735.57692307692
f2,C,10,5,2,260000,2500000,100000,2600000,0.9039406360834932,19134.615384615383
f2,D,50,25,2,310000,15000000,500000,15500000,0.9979686318972032,105625.0
f2,E,24,12,2,450000,9600000,1200000,10800000,0.9236244355291974,46923.07692307692
f2,F,28,14,2,450000,11200000,1400000,12600000,0.9320062732052526,55240.38461538462
f2,G,10,5,2,450000,4000000,500000,4500000,0.9062118437118436,19182.69230769231
f2,H,34,17,2,1100000,34000000,3400000,37400000,0.9933193362815208,71490.38461538461
f2,I,32,16,2,600000,16000000,3200000,19200000,0.9673924992005348,65528.84615384616
f2,J,56,28,2,600000,28000000,5600000,33600000,0.9727663386783284,115312.5
f2,K,8,4,2,82000,640000,16000,656000,0.878673451218094,14879.807692307691
f2,L,36,18,2,102000,3600000,72000,3672000,0.9482291848363276,72259.61538461539
f2,M,56,28,2,52000,2800000,112000,2912000,0.9770248529814854,115817.30769230767
f3,A,12,4,3,160000,1800000,120000,1920000,0.928356118088261,15721.15384615385
f3,B,36,12,3,210000,7200000,360000,7560000,0.980720071741897,49823.717948717946
f3,C,12,4,3,260000,3000000,120000,3120000,0.753283863402911,12756.410256410256
f3,D,51,17,3,310000,15300000,510000,15810000,0.978400619507062,70416.66666666667
f3,E,24,8,3,450000,9600000,1200000,10800000,0.9236244355291974,31282.05128205128
f3,F,27,9,3,450000,10800000,1350000,12150000,0.9665250240647066,36826.92307692308
f3,G,12,4,3,450000,4800000,600000,5400000,0.7551765364265364,12788.46153846154
f3,H,36,12,3,1100000,36000000,3600000,39600000,0.9381349287103252,47660.25641025641
f3,I,33,11,3,600000,16500000,3300000,19800000,0.9380775749823368,43685.89743589744
f3,J,57,19,3,600000,28500000,5700000,34200000,0.9557002625611648,76875.0
f3,K,9,3,3,82000,720000,18000,738000,0.7810430677494169,9919.871794871797
f3,L,36,12,3,102000,3600000,72000,3672000,0.9482291848363278,48173.07692307693
f3,M,57,19,3,52000,2850000,114000,2964000,0.9598840660870734,77211.53846153845
f4,A,12,3,4,160000,1800000,120000,1920000,0.928356118088261,11790.865384615388
f4,B,36,9,4,210000,7200000,360000,7560000,0.9807200717418972,37367.78846153846
f4,C,12,3,4,260000,3000000,120000,3120000,0.7532838634029109,9567.307692307691
f4,D,52,13,4,310000,15600000,520000,16120000,0.95958522297808,52812.5
f4,E,24,6,4,450000,9600000,1200000,10800000,0.9236244355291974,23461.53846153846
f4,F,28,7,4,450000,11200000,1400000,12600000,0.9320062732052526,27620.19230769231
f4,G,12,3,4,450000,4800000,600000,5400000,0.7551765364265364,9591.346153846154
f4,H,36,9,4,1100000,36000000,3600000,39600000,0.9381349287103254,35745.192307692305
f4,I,32,8,4,600000,16000000,3200000,19200000,0.9673924992005348,32764.42307692308
f4,J,56,14,4,600000,28000000,5600000,33600000,0.9727663386783284,57656.25
f4,K,8,2,4,82000,640000,16000,656000,0.878673451218094,7439.903846153847
f4,L,36,9,4,102000,3600000,72000,3672000,0.9482291848363276,36129.807692307695
f4,M,56,14,4,52000,2800000,112000,2912000,0.9770248529814854,57908.65384615384
f5,A,15,3,5,160000,2250000,150000,2400000,0.7426848944706088,9432.692307692309
f5,B,40,8,5,210000,8000000,400000,8400000,0.8826480645677074,29894.23076923077
f5,C,10,2,5,260000,2500000,100000,2600000,0.9039406360834932,7653.846153846153
f5,D,50,10,5,310000,15000000,500000,15500000,0.9979686318972032,42250.0
f5,E,25,5,5,450000,10000000,1250000,11250000,0.8866794581080295,18769.23076923077
f5,F,30,6,5,450000,12000000,1500000,13500000,0.8698725216582359,22096.153846153848
f5,G,10,2,5,450000,4000000,500000,4500000,0.9062118437118436,7673.076923076924
f5,H,35,7,5,1100000,35000000,3500000,38500000,0.9649387838163346,28596.153846153844
f5,I,35,7,5,600000,17500000,3500000,21000000,0.8844731421262032,26211.53846153846
f5,J,55,11,5,600000,27500000,5500000,33000000,0.9904529993815708,46125.0
f5,K,10,2,5,82000,800000,20000,820000,0.7029387609744753,5951.923076923077
f5,L,35,7,5,102000,3500000,70000,3570000,0.9753214472602229,28903.84615384616
f5,M,55,11,5,52000,2750000,110000,2860000,0.9947889412175126,46326.92307692308
