Scenario,Process,Total_Installed_Cost,Useful_Life_Years,Annual_Depreciation
f2,A,1800000,10,180000.0
f2,B,7200000,10,720000.0
f2,C,2500000,10,250000.0
f2,D,15000000,10,1500000.0
f2,E,9600000,10,960000.0
f2,F,11200000,10,1120000.0
f2,G,4000000,10,400000.0
f2,H,34000000,15,2266666.6666666665
f2,I,16000000,15,1066666.6666666667
f2,J,28000000,15,1866666.6666666667
f2,K,640000,8,80000.0
f2,L,3600000,8,450000.0
f2,M,2800000,8,350000.0
f3,A,1800000,10,180000.0
f3,B,7200000,10,720000.0
f3,C,3000000,10,300000.0
f3,D,15300000,10,1530000.0
f3,E,9600000,10,960000.0
f3,F,10800000,10,1080000.0
f3,G,4800000,10,480000.0
f3,H,36000000,15,2400000.0
f3,I,16500000,15,1100000.0
f3,J,28500000,15,1900000.0
f3,K,720000,8,90000.0
f3,L,3600000,8,450000.0
f3,M,2850000,8,356250.0
f4,A,1800000,10,180000.0
f4,B,7200000,10,720000.0
f4,C,3000000,10,300000.0
f4,D,15600000,10,1560000.0
f4,E,9600000,10,960000.0
f4,F,11200000,10,1120000.0
f4,G,4800000,10,480000.0
f4,H,36000000,15,2400000.0
f4,I,16000000,15,1066666.6666666667
f4,J,28000000,15,1866666.6666666667
f4,K,640000,8,80000.0
f4,L,3600000,8,450000.0
f4,M,2800000,8,350000.0
f5,A,2250000,10,225000.0
f5,B,8000000,10,800000.0
f5,C,2500000,10,250000.0
f5,D,15000000,10,1500000.0
f5,E,10000000,10,1000000.0
f5,F,12000000,10,1200000.0
f5,G,4000000,10,400000.0
f5,H,35000000,15,2333333.3333333335
f5,I,17500000,15,1166666.6666666667
f5,J,27500000,15,1833333.3333333333
f5,K,800000,8,100000.0
f5,L,3500000,8,437500.0
f5,M,2750000,8,343750.0
