Process,Total_Workload_Min,Workload_per_Center_Min,Equipment_per_Center,Total_Equipment,Utilization_per_Center,Base_Capacity_per_Equipment
A,47163.46,23581.73,6,12,0.9284,4233.6
B,149471.15,74735.58,18,36,0.9807,4233.6
C,38269.23,19134.62,5,10,0.9039,4233.6
D,211250.0,105625.0,25,50,0.998,4233.6
E,93846.15,46923.08,12,24,0.9236,4233.6
F,110480.77,55240.38,14,28,0.932,4233.6
G,38365.38,19182.69,5,10,0.9062,4233.6
H,142980.77,71490.38,17,34,0.9933,4233.6
I,131057.69,65528.85,16,32,0.9674,4233.6
J,230625.0,115312.5,28,56,0.9728,4233.6
K,29759.62,14879.81,4,8,0.8787,4233.6
L,144519.23,72259.62,18,36,0.9482,4233.6
M,231634.62,115817.31,28,56,0.977,4233.6
