Process,In_Flow_per_Center,Out_Flow_per_Center,Total_In_Flow,Total_Out_Flow
A,10480.76923076923,22692.307692307688,20961.53846153846,45384.615384615376
B,17115.384615384613,34134.61538461538,34230.76923076923,68269.23076923077
C,31538.46153846154,31538.46153846154,63076.92307692308,63076.92307692308
D,36153.846153846156,36153.846153846156,72307.69230769231,72307.69230769231
E,8461.538461538461,41730.769230769234,16923.076923076922,83461.53846153847
F,29423.07692307693,39807.692307692305,58846.15384615386,79615.38461538461
G,41730.76923076923,41730.769230769234,83461.53846153845,83461.53846153847
H,33173.07692307692,19519.230769230766,66346.15384615384,39038.46153846153
I,52500.00000000001,40192.307692307695,105000.00000000001,80384.61538461539
J,49230.769230769234,2307.6923076923076,98461.53846153847,4615.384615384615
K,13365.384615384617,21826.923076923078,26730.769230769234,43653.846153846156
L,18461.53846153846,35865.38461538462,36923.07692307692,71730.76923076923
M,35865.38461538462,10000.0,71730.76923076923,20000.0
