,A,B,C,D,E,F,G,H,I,J,K,L,M
A,0.0,8557.692307692307,2788.461538461538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,5240.384615384615,0.0,7980.7692307692305,3846.153846153846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,0.0,0.0,0.0,14230.76923076923,0.0,0.0,0.0,0.0,1538.4615384615386,0.0,0.0,0.0,0.0
D,0.0,0.0,1538.4615384615386,0.0,0.0,0.0,2307.6923076923076,3798.076923076923,10432.692307692309,0.0,0.0,0.0,0.0
E,0.0,0.0,0.0,0.0,0.0,10384.615384615387,9326.923076923076,1153.8461538461538,0.0,0.0,0.0,0.0,0.0
F,0.0,0.0,3461.538461538462,0.0,0.0,0.0,9230.76923076923,3557.6923076923076,3653.846153846154,0.0,0.0,0.0,0.0
G,0.0,0.0,0.0,0.0,4230.7692307692305,4326.923076923077,0.0,8076.923076923078,4230.7692307692305,0.0,0.0,0.0,0.0
H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5240.384615384615,4519.230769230769,0.0,0.0,0.0
I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20096.153846153848,0.0,0.0,0.0
J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1153.8461538461538,0.0,0.0,0.0,0.0
K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4230.7692307692305,6682.6923076923085
L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6682.6923076923085,0.0,11250.0
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0
