From,To,Flow,Center_ID
A,B,6846.153846153847,1
A,C,2230.7692307692305,1
B,A,4192.307692307692,1
B,C,6384.615384615385,1
B,D,3076.923076923077,1
C,D,11384.615384615385,1
C,I,1230.769230769231,1
D,C,1230.769230769231,1
D,G,1846.1538461538462,1
D,H,3038.461538461538,1
D,I,8346.153846153848,1
E,F,8307.692307692309,1
E,G,7461.538461538462,1
E,H,923.0769230769231,1
F,C,2769.2307692307695,1
F,G,7384.615384615385,1
F,H,2846.153846153846,1
F,I,2923.076923076923,1
G,E,3384.6153846153848,1
G,F,3461.5384615384614,1
G,H,6461.538461538463,1
G,I,3384.6153846153848,1
H,I,4192.307692307692,1
H,J,3615.384615384615,1
I,J,16076.923076923078,1
J,I,923.0769230769231,1
K,L,3384.6153846153848,1
K,M,5346.153846153847,1
L,K,5346.153846153847,1
L,M,9000.0,1
M,L,4000.0,1
