Process,Total_Workload_Min,Workload_per_Center_Min,Equipment_per_Center,Total_Equipment,Utilization_per_Center,Capacity_per_Equipment
A,47163.461538461546,15721.15384615385,4,12,0.928356118088261,4233.6
B,149471.15384615384,49823.717948717946,12,36,0.980720071741897,4233.6
C,38269.230769230766,12756.410256410256,4,12,0.753283863402911,4233.6
D,211250.0,70416.66666666667,17,51,0.978400619507062,4233.6
E,93846.15384615384,31282.05128205128,8,24,0.9236244355291974,4233.6
F,110480.76923076923,36826.92307692308,9,27,0.9665250240647066,4233.6
G,38365.38461538462,12788.461538461539,4,12,0.7551765364265364,4233.6
H,142980.76923076922,47660.25641025641,12,36,0.9381349287103253,4233.6
I,131057.69230769231,43685.89743589744,11,33,0.9380775749823368,4233.6
J,230625.0,76875.0,19,57,0.9557002625611647,4233.6
K,29759.615384615387,9919.871794871795,3,9,0.7810430677494169,4233.6
L,144519.23076923078,48173.07692307693,12,36,0.9482291848363278,4233.6
M,231634.61538461538,77211.53846153845,19,57,0.9598840660870734,4233.6
