from,total_flow,total_distance_travelled_ft,total_distance_travelled_km
A,11346.153846153844,367500.0,112013.996
B,17067.30769230769,472696.574,144077.911
C,15769.23076923077,622293.481,189675.047
D,18076.923076923078,1128963.206,344107.974
E,20865.384615384617,820952.4519999999,250226.299
F,19903.846153846152,1986795.385,605575.214
G,20865.384615384617,1316401.131,401239.052
H,9759.615384615383,698669.173,212954.357
I,20096.153846153848,1507211.538,459398.062
J,1153.8461538461538,86538.462,26376.922
K,10913.461538461539,286888.49600000004,87443.611
L,17932.69230769231,629669.728,191923.327
M,5000.0,216708.329,66052.697
