to,total_flow,total_distance_travelled_ft,total_distance_travelled_km
A,5240.384615384615,136250.0,41528.999
B,8557.692307692307,222500.0,67817.998
C,15769.23076923077,1036170.782,315824.844
D,18076.923076923078,638082.052,194487.403
E,4230.769230769231,168395.777,51327.031
F,14711.538461538465,539614.2509999999,164474.418
G,20865.384615384613,1110150.509,338373.864
H,16586.53846153846,1419043.243,432524.367
I,26250.0,1789567.0760000001,545460.027
J,24615.384615384617,1948247.7119999998,593825.884
K,6682.6923076923085,142075.987,43304.759
L,9230.76923076923,306655.717,93468.66
M,17932.69230769231,684534.8489999999,208646.215
