from,to,flow,distance_ft,flow_x_distance,distance_travelled_ft,distance_travelled_km
I,J,20096.153846153848,75.0,1507211.538,1507211.538,459398.062
F,C,3461.538461538462,181.604,628629.109,628629.109,191606.146
G,H,8076.923076923078,67.574,545790.27,545790.27,166356.869
C,D,14230.76923076923,35.777,509135.478,509135.478,155184.489
F,I,3653.846153846154,137.906,503886.449,503886.449,153584.585
L,M,11250.0,43.342,487593.741,487593.741,148618.568
F,G,9230.76923076923,48.023,443293.216,443293.216,135115.768
H,J,4519.230769230769,97.591,441036.174,441036.174,134427.822
D,I,10432.692307692309,41.593,433929.774,433929.774,132261.791
F,H,3557.692307692308,115.521,410986.611,410986.611,125268.715
G,I,4230.769230769231,93.227,394421.389,394421.389,120219.636
E,G,9326.923076923076,39.803,371236.144,371236.144,113152.773
D,H,3798.076923076923,90.67,344370.61,344370.61,104964.159
E,F,10384.615384615388,31.953,331820.556,331820.556,101138.902
D,G,2307.692307692308,128.102,295621.149,295621.149,90105.323
H,I,5240.384615384615,49.163,257632.999,257632.999,78526.536
A,B,8557.692307692307,26.0,222500.0,222500.0,67817.998
M,L,5000.0,43.342,216708.329,216708.329,66052.697
G,F,4326.923076923077,48.023,207793.695,207793.695,63335.516
B,C,7980.7692307692305,26.0,207500.0,207500.0,63245.998
K,M,6682.6923076923085,29.47,196941.108,196941.108,60027.648
G,E,4230.769230769231,39.803,168395.777,168395.777,51327.031
A,C,2788.461538461538,52.0,145000.0,145000.0,44195.999
L,K,6682.6923076923085,21.26,142075.987,142075.987,43304.759
B,A,5240.384615384615,26.0,136250.0,136250.0,41528.999
B,D,3846.153846153846,33.526,128946.574,128946.574,39302.914
E,H,1153.8461538461538,102.176,117895.752,117895.752,35934.624
C,I,1538.4615384615386,73.553,113158.003,113158.003,34490.558
K,L,4230.769230769231,21.26,89947.388,89947.388,27415.963
J,I,1153.8461538461538,75.0,86538.462,86538.462,26376.922
D,C,1538.4615384615386,35.777,55041.673,55041.673,16776.701
A,M,0.0,166.857,0.0,0.0,0.0
A,J,0.0,126.21,0.0,0.0,0.0
A,I,0.0,84.723,0.0,0.0,0.0
A,H,0.0,130.74,0.0,0.0,0.0
