Process,Units_Required,Operators_Per_Unit,Total_Operators,Hourly_Cost,Annual_Labor_Cost,Utilization_2_Shifts
A,12,1.25,15.0,20.0,1248000.0,92.8356118088261
B,36,1.25,45.0,40.0,7488000.0,98.07200717418972
C,10,1.25,12.5,60.0,3120000.0,90.39406360834931
D,50,1.25,62.5,20.0,5200000.0,99.79686318972033
E,23,1.0,23.0,20.0,1913600.0,96.37820196826408
F,27,1.0,27.0,20.0,2246400.0,96.65250240647066
G,10,1.0,10.0,20.0,832000.0,90.62118437118436
H,34,2.0,68.0,20.0,5657600.0,99.33193362815209
I,31,2.0,62.0,20.0,5158400.0,99.85987088521652
J,55,2.0,110.0,20.0,9152000.0,99.04529993815709
K,8,0.5,4.0,20.0,332800.0,87.86734512180941
L,35,0.5,17.5,20.0,1456000.0,97.53214472602228
M,55,0.5,27.5,20.0,2288000.0,99.47889412175124
