Process,Total_In_Flow,Total_Out_Flow
A,20961.53846153846,45384.61538461539
B,34230.769230769234,68269.23076923077
C,63076.92307692308,63076.92307692308
D,72307.69230769231,72307.69230769231
E,16923.076923076922,83461.53846153847
F,58846.15384615386,79615.38461538461
G,83461.53846153847,83461.53846153847
H,66346.15384615384,39038.46153846154
I,105000.0,80384.61538461538
J,98461.53846153845,4615.384615384615
K,26730.769230769234,43653.846153846156
L,36923.07692307692,71730.76923076923
M,71730.76923076923,20000.0
