Process,Current_Equipment,Current_Utilization_%,Optimized_Equipment,Optimized_Utilization_%,Equipment_Reduction,Utilization_Increase_%,Weekly_Hours
A,14,80.4,11,89.3,3,8.9,786.1
B,39,91.4,35,89.0,4,-2.5,2491.2
C,13,70.2,9,88.6,4,18.3,637.8
D,53,95.1,49,89.8,4,-5.3,3520.8
E,28,80.0,22,88.9,6,8.9,1564.1
F,30,87.9,26,88.5,4,0.7,1841.3
G,15,61.0,9,88.8,6,27.8,639.4
H,38,89.8,34,87.6,4,-2.2,2383.0
I,38,82.3,31,88.1,7,5.8,2184.3
J,61,90.2,54,89.0,7,-1.2,3843.8
K,9,78.9,7,88.6,2,9.7,496.0
L,37,93.2,34,88.6,3,-4.6,2408.7
M,57,97.0,54,89.4,3,-7.6,3860.6
TOTAL,432,77.1,375,88.9,57,11.7,26657.1
