Part,A,B,C,D,E,F,G,H,I,J,K,L,M
P1,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0
P10,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,83.5,82.1,0.0,0.0,0.0
P11,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,87.6,0.0,0.0,0.0,0.0
P12,0.0,0.0,0.0,0.0,100.0,90.8,98.5,0.0,100.0,100.0,0.0,0.0,0.0
P13,0.0,0.0,0.0,0.0,93.9,100.0,100.0,88.0,90.5,0.0,0.0,0.0,0.0
P14,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0
P15,0.0,0.0,0.0,0.0,52.1,78.6,45.5,76.1,0.0,76.9,0.0,0.0,0.0
P16,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,99.4,0.0,0.0,0.0
P17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,96.4,87.3
P18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,95.8,100.0
P19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
P2,100.0,0.0,95.2,100.0,0.0,0.0,0.0,98.1,0.0,100.0,0.0,0.0,0.0
P20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0
P3,0.0,94.5,78.7,94.3,0.0,0.0,0.0,0.0,89.1,100.0,0.0,0.0,0.0
P4,92.5,97.2,0.0,100.0,0.0,0.0,90.8,100.0,0.0,0.0,0.0,0.0,0.0
P5,0.0,91.1,88.5,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
P6,91.0,66.4,68.9,100.0,0.0,0.0,0.0,100.0,73.1,98.7,0.0,0.0,0.0
P7,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0
P8,0.0,0.0,0.0,0.0,86.7,0.0,0.0,81.3,66.8,61.6,0.0,0.0,0.0
P9,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0
