Part,Weekly_Demand,Distance_Per_Unit_ft,Total_Weekly_Flow_unit_ft,Formula
P1,20961.54,229.91,4819267.31,20961.54 × 229.91 ft
P2,11153.85,107.09,1194465.38,11153.85 × 107.09 ft
P3,6153.85,108.53,667876.92,6153.85 × 108.53 ft
P4,9230.77,126.45,1167230.77,9230.77 × 126.45 ft
P5,6923.08,73.78,510784.62,6923.08 × 73.78 ft
P6,4038.46,108.54,438334.62,4038.46 × 108.54 ft
P7,13846.15,184.92,2560430.77,13846.15 × 184.92 ft
P8,4615.38,104.38,481753.85,4615.38 × 104.38 ft
P9,8846.15,150.94,1335238.46,8846.15 × 150.94 ft
P10,4615.38,72.46,334430.77,4615.38 × 72.46 ft
P11,8076.92,113.59,917457.69,8076.92 × 113.59 ft
P12,10000.0,110.43,1104300.0,10000.0 × 110.43 ft
P13,5000.0,164.4,822000.0,5000.0 × 164.4 ft
P14,18076.92,133.3,2409653.85,18076.92 × 133.3 ft
P15,2307.69,91.71,211638.46,2307.69 × 91.71 ft
P16,11923.08,193.34,2305207.69,11923.08 × 193.34 ft
P17,5000.0,11.99,59950.0,5000.0 × 11.99 ft
P18,11923.08,17.73,211396.15,11923.08 × 17.73 ft
P19,20000.0,19.5,390000.0,20000.0 × 19.5 ft
P20,14807.69,11.79,174582.69,14807.69 × 11.79 ft
