Part,Process_Sequence,Total_Machines,Layout_Width_ft,Layout_Height_ft,Total_Area_sqft,Number_of_Steps
P1,B → A → B3 → C → D → I → J,68,224,216,48384,7
P2,A → C → D → H → J,23,108,144,15552,5
P3,B → D → C → I → J,17,96,108,10368,5
P4,A → B → D → G → H,19,102,108,11016,5
P5,B → C → D → I,14,68,108,7344,4
P6,A → B → C → D → H → I → J,13,98,108,10584,7
P7,E → F → C → D → I → J,36,196,144,28224,6
P8,E → H → J → I,8,64,108,6912,4
P9,F → G → E → G4 → I → J,21,152,144,21888,6
P10,E → F → I → J,9,72,108,7776,4
P11,E → G → E3 → G4 → I,10,102,72,7344,5
P12,E → G → F → I → J,17,108,144,15552,5
P13,E → F → G → F4 → G5 → H → I,13,138,108,14904,7
P14,E → F → G → H,23,138,144,19872,4
P15,E → G → F → H → J,7,94,72,6768,5
P16,F → H → I → J,31,142,216,30672,4
P17,K → L → M,10,13,21,273,3
P18,K → L → K3 → M,20,18,26,468,4
P19,L → M → L3 → M4,51,26,31,806,4
P20,L → K → M,22,15,26,390,3
