Process,Weekly_Minutes,Weekly_Hours,Equipment_1_Shift,Equipment_2_Shifts,Utilization_1_Shift,Utilization_2_Shifts
A,47163.46153846154,786.0576923076923,23,14,97.85044722932922,80.37715308123472
B,149471.15384615387,2491.185897435898,72,39,99.06263350928258,91.44243093164543
C,38269.23076923077,637.8205128205129,19,13,96.11277363992485,70.2362576599451
D,211250.0,3520.8333333333335,101,53,99.80684387410774,95.09897388004606
E,93846.15384615384,1564.102564102564,45,28,99.51509069674854,79.96748359560151
F,110480.76923076923,1841.3461538461538,53,30,99.47084295691664,87.8659112786097
G,38365.38461538462,639.4230769230769,19,15,96.3542630209297,61.02436657992214
H,142980.76923076925,2383.012820512821,69,38,98.88115190622669,89.7736773885479
I,131057.69230769231,2184.294871794872,63,38,99.26746825209915,82.28750657739798
J,230625.0,3843.75,111,61,99.14444438253962,90.20519120050736
K,29759.615384615387,495.9935897435898,15,9,94.67188699992933,78.89323916660778
L,144519.23076923078,2408.653846153846,69,37,99.94510512108859,93.19205747777178
M,231634.61538461538,3860.576923076923,111,57,99.5784725943456,96.95798647344178
TOTAL,1599423.076923077,26657.051282051285,770,432,98.43549416795909,84.40940271471378
