Process,Part,Weekly_Part_Demand,Time_Per_Unit_Minutes,Total_Weekly_Minutes
A,P1,20961.53846153846,1.0,20961.53846153846
A,P2,11153.846153846152,1.25,13942.307692307691
A,P4,9230.76923076923,1.0,9230.76923076923
A,P6,4038.4615384615386,0.75,3028.846153846154
SUBTOTAL_A,ALL,45384.61538461538,,47163.461538461546
SUBTOTAL_A,ALL,45384.61538461538,,47163.461538461546
SUBTOTAL_SUBTOTAL_A,ALL,45384.61538461538,,47163.461538461546
B,P1,20961.53846153846,2.5,52403.84615384616
B,P1,20961.53846153846,2.5,52403.84615384616
B,P3,6153.846153846154,1.75,10769.23076923077
B,P4,9230.76923076923,2.0,18461.53846153846
B,P5,6923.076923076923,1.5,10384.615384615385
B,P6,4038.4615384615386,1.25,5048.076923076923
SUBTOTAL_B,ALL,68269.23076923077,,149471.15384615387
SUBTOTAL_B,ALL,68269.23076923077,,149471.15384615387
SUBTOTAL_SUBTOTAL_B,ALL,68269.23076923077,,149471.15384615387
C,P1,20961.53846153846,0.5,10480.76923076923
C,P2,11153.846153846152,0.5,5576.923076923076
C,P3,6153.846153846154,0.75,4615.384615384615
C,P5,6923.076923076923,0.75,5192.307692307692
C,P6,4038.4615384615386,0.5,2019.2307692307693
C,P7,13846.153846153848,0.75,10384.615384615388
SUBTOTAL_C,ALL,63076.92307692308,,38269.23076923077
SUBTOTAL_C,ALL,63076.92307692308,,38269.23076923077
SUBTOTAL_SUBTOTAL_C,ALL,63076.92307692308,,38269.23076923077
D,P1,20961.53846153846,2.5,52403.84615384616
D,P2,11153.846153846152,2.5,27884.615384615383
D,P3,6153.846153846154,3.0,18461.53846153846
D,P4,9230.76923076923,3.0,27692.30769230769
D,P5,6923.076923076923,3.5,24230.76923076923
D,P6,4038.4615384615386,3.0,12115.384615384615
D,P7,13846.153846153848,3.5,48461.53846153847
SUBTOTAL_D,ALL,72307.69230769231,,211250.0
SUBTOTAL_D,ALL,72307.69230769231,,211250.0
SUBTOTAL_SUBTOTAL_D,ALL,72307.69230769231,,211250.0
E,P10,4615.384615384615,1.5,6923.076923076923
E,P11,8076.923076923077,1.25,10096.153846153846
E,P11,8076.923076923077,1.25,10096.153846153846
E,P12,10000.0,1.0,10000.0
E,P13,5000.0,1.25,6250.0
E,P14,18076.92307692308,1.0,18076.92307692308
E,P15,2307.692307692308,0.75,1730.7692307692307
E,P7,13846.153846153848,1.0,13846.153846153848
E,P8,4615.384615384615,1.25,5769.2307692307695
E,P9,8846.153846153846,1.25,11057.692307692309
SUBTOTAL_E,ALL,83461.53846153845,,93846.15384615384
SUBTOTAL_E,ALL,83461.53846153845,,93846.15384615384
SUBTOTAL_SUBTOTAL_E,ALL,83461.53846153845,,93846.15384615384
F,P10,4615.384615384615,1.75,8076.923076923076
F,P12,10000.0,1.0,10000.0
F,P13,5000.0,1.25,6250.0
F,P13,5000.0,1.0,5000.0
F,P14,18076.92307692308,1.5,27115.384615384617
F,P15,2307.692307692308,1.25,2884.6153846153848
F,P16,11923.076923076924,1.25,14903.846153846154
F,P7,13846.153846153848,1.5,20769.230769230773
F,P9,8846.153846153846,1.75,15480.76923076923
SUBTOTAL_F,ALL,79615.38461538462,,110480.76923076925
SUBTOTAL_F,ALL,79615.38461538462,,110480.76923076923
SUBTOTAL_SUBTOTAL_F,ALL,79615.38461538462,,110480.76923076923
G,P11,8076.923076923077,0.5,4038.4615384615386
G,P11,8076.923076923077,0.25,2019.2307692307693
G,P12,10000.0,0.5,5000.0
G,P13,5000.0,0.5,2500.0
G,P13,5000.0,0.25,1250.0
G,P14,18076.92307692308,0.5,9038.46153846154
G,P15,2307.692307692308,0.5,1153.8461538461538
G,P4,9230.76923076923,0.25,2307.692307692308
G,P9,8846.153846153846,0.75,6634.615384615385
G,P9,8846.153846153846,0.5,4423.076923076923
SUBTOTAL_G,ALL,83461.53846153847,,38365.38461538462
SUBTOTAL_G,ALL,83461.53846153847,,38365.38461538462
SUBTOTAL_SUBTOTAL_G,ALL,83461.53846153847,,38365.38461538462
H,P13,5000.0,2.0,10000.0
H,P14,18076.92307692308,1.75,31634.615384615387
H,P15,2307.692307692308,2.5,5769.2307692307695
H,P16,11923.076923076924,5.0,59615.38461538462
H,P2,11153.846153846152,1.0,11153.846153846152
H,P4,9230.76923076923,1.25,11538.46153846154
H,P6,4038.4615384615386,1.0,4038.4615384615386
H,P8,4615.384615384615,2.0,9230.76923076923
SUBTOTAL_H,ALL,66346.15384615384,,142980.76923076925
SUBTOTAL_H,ALL,66346.15384615384,,142980.76923076925
