Part,A,B,C,D,E,F,G,H,I,J,K,L,M,Total_Machines
P1,10,50,5,25,0,0,0,0,13,25,0,0,0,384
P10,0,0,0,0,4,4,0,0,3,5,0,0,0,48
P11,0,0,0,0,10,0,3,0,3,0,0,0,0,48
P12,0,0,0,0,5,5,3,0,6,11,0,0,0,90
P13,0,0,0,0,3,6,2,5,3,0,0,0,0,57
P14,0,0,0,0,9,13,5,15,0,0,0,0,0,126
P15,0,0,0,0,1,2,1,3,0,3,0,0,0,30
P16,0,0,0,0,0,8,0,29,8,15,0,0,0,180
P17,0,0,0,0,0,0,0,0,0,0,2,8,9,57
P18,0,0,0,0,0,0,0,0,0,0,8,8,22,114
P19,0,0,0,0,0,0,0,0,0,0,0,41,60,303
P2,7,0,3,14,0,0,0,6,0,14,0,0,0,132
P20,0,0,0,0,0,0,0,0,0,0,6,14,21,123
P3,0,6,3,9,0,0,0,0,5,8,0,0,0,93
P4,5,9,0,14,0,0,2,6,0,0,0,0,0,108
P5,0,5,3,12,0,0,0,0,6,0,0,0,0,78
P6,2,3,1,6,0,0,0,2,3,6,0,0,0,69
P7,0,0,5,23,7,10,0,0,9,14,0,0,0,204
P8,0,0,0,0,3,0,0,5,3,2,0,0,0,39
P9,0,0,0,0,6,8,6,0,6,13,0,0,0,117
TOTAL,24,73,20,103,48,56,22,71,68,116,16,71,112,2400
TOTAL,48,146,40,206,96,112,44,142,136,232,32,142,224,4800
TOTAL,96,292,80,412,192,224,88,284,272,464,64,284,448,9600
