Part,A,B,C,D,E,F,G,H,I,J,K,L,M
P1,99.0,99.0,82.5,95.2,0.0,0.0,0.0,0.0,88.4,95.2,0.0,0.0,0.0
P10,0.0,0.0,0.0,0.0,81.8,95.4,0.0,0.0,68.1,72.7,0.0,0.0,0.0
P11,0.0,0.0,0.0,0.0,95.4,0.0,71.5,0.0,71.5,0.0,0.0,0.0,0.0
P12,0.0,0.0,0.0,0.0,78.7,78.7,59.1,0.0,98.4,88.6,0.0,0.0,0.0
P13,0.0,0.0,0.0,0.0,73.8,88.6,88.6,78.7,73.8,0.0,0.0,0.0,0.0
P14,0.0,0.0,0.0,0.0,85.4,91.5,71.2,93.4,0.0,0.0,0.0,0.0,0.0
P15,0.0,0.0,0.0,0.0,40.9,68.1,27.3,68.1,0.0,68.1,0.0,0.0,0.0
P16,0.0,0.0,0.0,0.0,0.0,88.0,0.0,93.9,88.0,88.0,0.0,0.0,0.0
P17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.6,88.6,82.7
P18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,88.0,96.0
P19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.6,98.4
P2,82.3,0.0,65.9,94.1,0.0,0.0,0.0,87.8,0.0,94.1,0.0,0.0,0.0
P20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.4,99.9,95.4
P3,0.0,84.8,54.5,87.2,0.0,0.0,0.0,0.0,72.7,90.8,0.0,0.0,0.0
P4,72.7,87.2,0.0,93.4,0.0,0.0,54.5,90.8,0.0,0.0,0.0,0.0,0.0
P5,0.0,81.8,61.3,95.4,0.0,0.0,0.0,0.0,95.4,0.0,0.0,0.0,0.0
P6,71.5,59.6,47.7,95.4,0.0,0.0,0.0,95.4,59.6,87.4,0.0,0.0,0.0
P7,0.0,0.0,81.8,95.4,81.8,98.1,0.0,0.0,81.8,93.4,0.0,0.0,0.0
P8,0.0,0.0,0.0,0.0,68.1,0.0,0.0,72.7,54.5,54.5,0.0,0.0,0.0
P9,0.0,0.0,0.0,0.0,87.1,91.4,87.1,0.0,87.1,89.6,0.0,0.0,0.0
