Part,Step,Operation,Weekly_Demand_Units,Time_Required_Min_Week,Number_of_Machines
P1,1,B,20961.53846153846,52403.84615384616,25.0
P1,2,A,20961.53846153846,20961.53846153846,5.0
P1,3,B,20961.53846153846,52403.84615384616,25.0
P1,4,C,20961.53846153846,10480.76923076923,3.0
P1,5,D,20961.53846153846,52403.84615384616,13.0
P1,6,I,20961.53846153846,26201.92307692308,7.0
P1,7,J,20961.53846153846,52403.84615384616,13.0
P1,TOTAL,ALL,20961.53846153846,267259.61538461543,91.0
P1,TOTAL,ALL,20961.53846153846,534519.2307692309,182.0
P1,TOTAL,ALL,20961.53846153846,1069038.4615384617,364.0
P10,1,E,4615.384615384615,6923.076923076923,2.0
P10,2,F,4615.384615384615,8076.923076923076,2.0
P10,3,I,4615.384615384615,5769.2307692307695,2.0
P10,4,J,4615.384615384615,9230.76923076923,3.0
P10,TOTAL,ALL,4615.384615384615,30000.0,9.0
P10,TOTAL,ALL,4615.384615384615,60000.0,18.0
P10,TOTAL,ALL,4615.384615384615,120000.0,36.0
P11,1,E,8076.923076923077,10096.153846153846,5.0
P11,2,G,8076.923076923077,4038.4615384615386,2.0
P11,3,E,8076.923076923077,10096.153846153846,5.0
P11,4,G,8076.923076923077,2019.2307692307693,2.0
P11,5,I,8076.923076923077,6057.692307692308,2.0
P11,TOTAL,ALL,8076.923076923077,32307.69230769231,16.0
P11,TOTAL,ALL,8076.923076923077,64615.38461538462,32.0
P11,TOTAL,ALL,8076.923076923077,129230.76923076923,64.0
P12,1,E,10000.0,10000.0,3.0
P12,2,G,10000.0,5000.0,2.0
P12,3,F,10000.0,10000.0,3.0
P12,4,I,10000.0,12500.0,3.0
P12,5,J,10000.0,22500.0,6.0
P12,TOTAL,ALL,10000.0,60000.0,17.0
P12,TOTAL,ALL,10000.0,120000.0,34.0
P12,TOTAL,ALL,10000.0,240000.0,68.0
P13,1,E,5000.0,6250.0,2.0
P13,2,F,5000.0,6250.0,3.0
P13,3,G,5000.0,2500.0,1.0
P13,4,F,5000.0,5000.0,3.0
P13,5,G,5000.0,1250.0,1.0
P13,6,H,5000.0,10000.0,3.0
P13,7,I,5000.0,6250.0,2.0
P13,TOTAL,ALL,5000.0,37500.0,15.0
P13,TOTAL,ALL,5000.0,75000.0,30.0
P13,TOTAL,ALL,5000.0,150000.0,60.0
P14,1,E,18076.92307692308,18076.92307692308,5.0
P14,2,F,18076.92307692308,27115.384615384617,7.0
P14,3,G,18076.92307692308,9038.46153846154,3.0
P14,4,H,18076.92307692308,31634.615384615387,8.0
P14,TOTAL,ALL,18076.92307692308,85865.38461538462,23.0
P14,TOTAL,ALL,18076.92307692308,171730.76923076925,46.0
P14,TOTAL,ALL,18076.92307692308,343461.5384615385,92.0
P15,1,E,2307.692307692308,1730.7692307692307,1.0
P15,2,G,2307.692307692308,1153.8461538461538,1.0
P15,3,F,2307.692307692308,2884.6153846153848,1.0
P15,4,H,2307.692307692308,5769.2307692307695,2.0
P15,5,J,2307.692307692308,5769.2307692307695,2.0
P15,TOTAL,ALL,2307.692307692308,17307.69230769231,7.0
P15,TOTAL,ALL,2307.692307692308,34615.38461538462,14.0
P15,TOTAL,ALL,2307.692307692308,69230.76923076923,28.0
P16,1,F,11923.076923076924,14903.846153846154,4.0
P16,2,H,11923.076923076924,59615.38461538462,15.0
P16,3,I,11923.076923076924,14903.846153846154,4.0
P16,4,J,11923.076923076924,29807.69230769231,8.0
P16,TOTAL,ALL,11923.076923076924,119230.76923076923,31.0
P16,TOTAL,ALL,11923.076923076924,238461.53846153847,62.0
P16,TOTAL,ALL,11923.076923076924,476923.07692307694,124.0
P17,1,K,5000.0,3750.0,1.0
P17,2,L,5000.0,15000.0,4.0
P17,3,M,5000.0,17500.0,5.0
P17,TOTAL,ALL,5000.0,36250.0,10.0
P17,TOTAL,ALL,5000.0,72500.0,20.0
P17,TOTAL,ALL,5000.0,145000.0,40.0
P18,1,K,11923.076923076924,8942.307692307693,4.0
P18,2,L,11923.076923076924,14903.846153846154,4.0
P18,3,K,11923.076923076924,5961.538461538462,4.0
P18,4,M,11923.076923076924,44711.53846153846,11.0
P18,TOTAL,ALL,11923.076923076924,74519.23076923077,23.0
P18,TOTAL,ALL,11923.076923076924,149038.46153846156,46.0
P18,TOTAL,ALL,11923.076923076924,298076.9230769231,92.0
P19,1,L,20000.0,45000.0,21.0
P19,2,M,20000.0,50000.0,30.0
P19,3,L,20000.0,40000.0,21.0
P19,4,M,20000.0,75000.0,30.0
P19,TOTAL,ALL,20000.0,210000.0,102.0
P19,TOTAL,ALL,20000.0,420000.0,204.0
P19,TOTAL,ALL,20000.0,840000.0,408.0
P2,1,A,11153.846153846152,13942.307692307691,4.0
P2,2,C,11153.846153846152,5576.923076923076,2.0
P2,3,D,11153.846153846152,27884.615384615383,7.0
