Process,Units_Required,Cost_Per_Unit,Total_Installed_Cost,Total_Relocation_Cost,Total_Process_Cost,Utilization_2_Shifts,Weekly_Hours
A,14,160000,2100000,140000,2240000,80.37715308123472,786.0576923076923
B,39,210000,7800000,390000,8190000,91.44243093164545,2491.185897435898
C,13,260000,3250000,130000,3380000,70.2362576599451,637.8205128205129
D,53,310000,15900000,530000,16430000,95.09897388004606,3520.833333333333
E,28,450000,11200000,1400000,12600000,79.96748359560151,1564.102564102564
F,30,450000,12000000,1500000,13500000,87.8659112786097,1841.3461538461536
G,15,450000,6000000,750000,6750000,61.02436657992214,639.4230769230769
H,38,1100000,38000000,3800000,41800000,89.7736773885479,2383.012820512821
I,38,600000,19000000,3800000,22800000,82.28750657739798,2184.294871794872
J,61,600000,30500000,6100000,36600000,90.20519120050736,3843.75
K,9,82000,720000,18000,738000,78.89323916660778,495.9935897435898
L,37,102000,3700000,74000,3774000,93.19205747777178,2408.653846153846
M,57,52000,2850000,114000,2964000,96.95798647344178,3860.576923076923
