Process,Units_Required,Operators_Per_Unit,Total_Operators,Hourly_Cost,Annual_Labor_Cost,Utilization_2_Shifts,Weekly_Hours
A,12,1.25,15.0,20.0,1248000.0,92.8356118088261,786.0576923076925
B,36,1.25,45.0,40.0,7488000.0,98.07200717418972,2491.185897435897
C,10,1.25,12.5,60.0,3120000.0,90.39406360834931,637.8205128205128
D,50,1.25,62.5,20.0,5200000.0,99.79686318972033,3520.833333333333
E,23,1.0,23.0,20.0,1913600.0,96.37820196826408,1564.102564102564
F,27,1.0,27.0,20.0,2246400.0,96.65250240647066,1841.3461538461536
G,10,1.0,10.0,20.0,832000.0,90.62118437118436,639.4230769230769
H,34,2.0,68.0,20.0,5657600.0,99.33193362815209,2383.0128205128203
I,31,2.0,62.0,20.0,5158400.0,99.85987088521652,2184.294871794872
J,55,2.0,110.0,20.0,9152000.0,99.04529993815709,3843.75
K,8,0.5,4.0,20.0,332800.0,87.86734512180941,495.9935897435898
L,35,0.5,17.5,20.0,1456000.0,97.53214472602228,2408.653846153846
M,55,0.5,27.5,20.0,2288000.0,99.47889412175124,3860.576923076923
TOTAL,386,15.5,484.0,320.0,46092800.0,1247.8659229481132,26657.05128205128
