Area,Machines,Grid_Rows,Grid_Cols,X,Y,Width,Height,Center_X,Center_Y,Group
A,10,5,2,0.00,95.00,26.00,62.00,13.00,126.00,ABCD
B,32,8,4,31.00,77.00,50.00,98.00,56.00,126.00,ABCD
C,9,3,3,86.00,107.00,38.00,38.00,105.00,126.00,ABCD
D,45,9,5,129.00,71.00,62.00,110.00,160.00,126.00,ABCD
E,20,4,5,196.00,54.00,70.00,144.00,231.00,126.00,EFGH
F,24,4,6,271.00,54.00,84.00,144.00,313.00,126.00,EFGH
G,9,3,3,360.00,72.00,42.00,108.00,381.00,126.00,EFGH
H,31,4,8,407.00,54.00,112.00,144.00,463.00,126.00,EFGH
I,28,4,7,524.00,54.00,98.00,144.00,573.00,126.00,IJKLM
J,49,7,7,627.00,0.00,98.00,252.00,676.00,126.00,IJKLM
K,7,2,4,730.00,90.00,56.00,72.00,758.00,126.00,IJKLM
L,31,4,8,791.00,54.00,112.00,144.00,847.00,126.00,IJKLM
M,49,7,7,908.00,0.00,98.00,252.00,957.00,126.00,IJKLM

LAYOUT SUMMARY
Total Width (ft),1006.00
Total Height (ft),252.00
Total Area (sq ft),"253,512.00"
Total Machines,344
