Part,1,2,3,4,5,6,7,Total_Machines
P1,B: 13,A: 6,B: 13,C: 3,D: 13,I: 7,J: 13,68.0
P10,E: 2.0,F: 2.0,I: 2.0,J: 3.0,,,,9.0
P11,E: 3,G: 1,E: 3,G: 1,I: 2,,,10.0
P12,E: 3.0,G: 2.0,F: 3.0,I: 3.0,J: 6.0,,,17.0
P13,E: 2,F: 2,G: 1,F: 2,G: 1,H: 3,I: 2,13.0
P14,E: 5.0,F: 7.0,G: 3.0,H: 8.0,,,,23.0
P15,E: 1.0,G: 1.0,F: 1.0,H: 2.0,J: 2.0,,,7.0
P16,F: 4.0,H: 15.0,I: 4.0,J: 8.0,,,,31.0
P17,K: 1.0,L: 4.0,M: 5.0,,,,,10.0
P18,K: 3,L: 4,K: 2,M: 11,,,,20.0
P19,L: 11,M: 12,L: 10,M: 18,,,,51.0
P2,A: 4.0,C: 2.0,D: 7.0,H: 3.0,J: 7.0,,,23.0
P20,L: 8,K: 3,M: 11,,,,,22.0
P3,B: 3.0,D: 5.0,C: 2.0,I: 3.0,J: 4.0,,,17.0
P4,A: 3.0,B: 5.0,D: 7.0,G: 1.0,H: 3.0,,,19.0
P5,B: 3.0,C: 2.0,D: 6.0,I: 3.0,,,,14.0
P6,A: 1.0,B: 2.0,C: 1.0,D: 3.0,H: 1.0,I: 2.0,J: 3.0,13.0
P7,E: 4.0,F: 5.0,C: 3.0,D: 12.0,I: 5.0,J: 7.0,,36.0
P8,E: 2.0,H: 3.0,J: 1.0,I: 2.0,,,,8.0
P9,F: 4,G: 2,E: 3,G: 2,I: 3,J: 7,,21.0
