From,To,Flow,Center_ID
A,B,8557.692307692307,1
A,C,2788.461538461538,1
B,A,5240.384615384615,1
B,C,7980.7692307692305,1
B,D,3846.153846153846,1
C,D,14230.76923076923,1
C,I,1538.4615384615386,1
D,C,1538.4615384615386,1
D,G,2307.6923076923076,1
D,H,3798.076923076923,1
D,I,10432.692307692309,1
E,F,10384.615384615387,1
E,G,9326.923076923076,1
E,H,1153.8461538461538,1
F,C,3461.538461538462,1
F,G,9230.76923076923,1
F,H,3557.692307692308,1
F,I,3653.846153846154,1
G,E,4230.7692307692305,1
G,F,4326.923076923077,1
G,H,8076.923076923078,1
G,I,4230.7692307692305,1
H,I,5240.384615384615,1
H,J,4519.230769230769,1
I,J,20096.153846153848,1
J,I,1153.8461538461538,1
K,L,4230.7692307692305,1
K,M,6682.6923076923085,1
L,K,6682.6923076923085,1
L,M,11250.0,1
M,L,5000.0,1
