,A,B,C,D,E,F,G,H,I,J,K,L,M
A,0.0,6846.153846153847,2230.7692307692305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,4192.307692307692,0.0,6384.615384615385,3076.923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,0.0,0.0,0.0,11384.615384615385,0.0,0.0,0.0,0.0,1230.769230769231,0.0,0.0,0.0,0.0
D,0.0,0.0,1230.769230769231,0.0,0.0,0.0,1846.1538461538462,3038.461538461538,8346.153846153848,0.0,0.0,0.0,0.0
E,0.0,0.0,0.0,0.0,0.0,8307.692307692309,7461.538461538462,923.0769230769231,0.0,0.0,0.0,0.0,0.0
F,0.0,0.0,2769.2307692307695,0.0,0.0,0.0,7384.615384615385,2846.153846153846,2923.076923076923,0.0,0.0,0.0,0.0
G,0.0,0.0,0.0,0.0,3384.6153846153848,3461.5384615384614,0.0,6461.538461538463,3384.6153846153848,0.0,0.0,0.0,0.0
H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4192.307692307692,3615.384615384615,0.0,0.0,0.0
I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16076.923076923078,0.0,0.0,0.0
J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,923.0769230769231,0.0,0.0,0.0,0.0
K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3384.6153846153848,5346.153846153847
L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5346.153846153847,0.0,9000.0
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,0.0
