Process,In_Flow_per_Center,Out_Flow_per_Center,Total_In_Flow,Total_Out_Flow
A,4192.307692307692,9076.923076923078,20961.53846153846,45384.61538461539
B,6846.153846153847,13653.846153846152,34230.769230769234,68269.23076923077
C,12615.384615384615,12615.384615384615,63076.92307692308,63076.92307692308
D,14461.538461538461,14461.538461538463,72307.69230769231,72307.69230769231
E,3384.6153846153848,16692.307692307695,16923.076923076922,83461.53846153847
F,11769.23076923077,15923.076923076922,58846.153846153844,79615.38461538461
G,16692.307692307695,16692.307692307695,83461.53846153847,83461.53846153847
H,13269.23076923077,7807.692307692307,66346.15384615384,39038.46153846153
I,21000.0,16076.923076923078,105000.0,80384.61538461539
J,19692.30769230769,923.0769230769231,98461.53846153845,4615.384615384615
K,5346.153846153847,8730.76923076923,26730.769230769234,43653.846153846156
L,7384.615384615385,14346.153846153848,36923.07692307692,71730.76923076923
M,14346.153846153848,4000.0,71730.76923076923,20000.0
