Part,Safety_Stock_Units,Cycle_Stock_Units,Factory_Storage_Units,Warehouse_A_Units,Warehouse_B_Units,Part_Volume_CuFt
P1,5757.396513907364,10480.76923076923,16238.165744676595,740.3846153846155,923.0769230769232,0.041666666666666664
P2,3058.114358225311,5576.923076923076,8635.037435148388,442.30769230769226,346.1538461538462,0.14814814814814814
P3,1595.0019935551238,3076.923076923077,4671.925070478201,0.0,923.0769230769232,0.125
P4,2850.4730226653437,4615.384615384615,7465.857638049959,346.15384615384613,346.1538461538462,0.16666666666666666
P5,2759.780821198295,3461.5384615384614,6221.319282736757,346.15384615384613,0.0,0.1111111111111111
P6,1474.1938889603218,2019.2307692307693,3493.424658191091,48.07692307692308,461.5384615384616,0.05555555555555555
P7,4883.113518109834,6923.076923076924,11806.190441186758,384.61538461538464,923.0769230769232,0.027777777777777776
P8,1426.6131527347754,2307.6923076923076,3734.305460427083,0.0,692.3076923076924,0.037037037037037035
P9,3249.7493628204793,4423.076923076923,7672.826285897402,442.30769230769226,0.0,0.05555555555555555
P10,1387.064617427626,2307.6923076923076,3694.756925119934,173.07692307692307,173.0769230769231,0.037037037037037035
P11,2948.3877779206437,4038.4615384615386,6986.849316382182,96.15384615384616,923.0769230769232,0.05555555555555555
P12,3217.026718150947,5000.0,8217.026718150948,192.30769230769232,923.0769230769232,0.08333333333333333
P13,1608.5133590754735,2500.0,4108.513359075474,96.15384615384616,461.5384615384616,0.027777777777777776
P14,4988.268761904235,9038.461538461539,14026.730300365774,634.6153846153845,807.6923076923076,0.027777777777777776
P15,713.3065763673877,1153.8461538461538,1867.1527302135414,0.0,346.1538461538462,0.05555555555555555
P16,5246.053753452929,5961.538461538462,11207.592214991391,596.1538461538462,0.0,0.037037037037037035
P17,1608.5133590754735,2500.0,4108.513359075474,96.15384615384616,461.5384615384616,0.027777777777777776
P18,3366.118608327665,5961.538461538462,9327.657069866127,288.46153846153845,923.0769230769232,0.027777777777777776
P19,5745.3974695977795,10000.0,15745.39746959778,692.3076923076923,923.0769230769232,0.027777777777777776
P20,4472.058338637678,7403.846153846153,11875.90449248383,567.3076923076923,519.2307692307692,0.027777777777777776
