Process,Total_Workload_Min,Workload_per_Center_Min,Equipment_per_Center,Total_Equipment,Utilization_per_Center,Capacity_per_Equipment
A,47163.461538461546,9432.692307692309,3,15,0.7426848944706088,4233.6
B,149471.15384615384,29894.23076923077,8,40,0.8826480645677074,4233.6
C,38269.230769230766,7653.846153846153,2,10,0.9039406360834931,4233.6
D,211250.0,42250.0,10,50,0.9979686318972033,4233.6
E,93846.15384615384,18769.23076923077,5,25,0.8866794581080295,4233.6
F,110480.76923076923,22096.153846153848,6,30,0.8698725216582359,4233.6
G,38365.38461538462,7673.076923076924,2,10,0.9062118437118437,4233.6
H,142980.76923076922,28596.153846153844,7,35,0.9649387838163346,4233.6
I,131057.69230769231,26211.53846153846,7,35,0.8844731421262032,4233.6
J,230625.0,46125.0,11,55,0.9904529993815707,4233.6
K,29759.615384615387,5951.923076923077,2,10,0.7029387609744753,4233.6
L,144519.23076923078,28903.846153846156,7,35,0.9753214472602227,4233.6
M,231634.61538461538,46326.92307692308,11,55,0.9947889412175126,4233.6
