Process,Part,Weekly_Part_Demand,Time_Per_Unit_Minutes,Total_Weekly_Minutes
A,P1,20961.53846153846,1.0,20961.53846153846
A,P2,11153.846153846152,1.25,13942.307692307691
A,P4,9230.76923076923,1.0,9230.76923076923
A,P6,4038.4615384615386,0.75,3028.846153846154
B,P1,20961.53846153846,2.5,52403.846153846156
B,P1,20961.53846153846,2.5,52403.846153846156
B,P3,6153.846153846154,1.75,10769.23076923077
B,P4,9230.76923076923,2.0,18461.53846153846
B,P5,6923.076923076923,1.5,10384.615384615385
B,P6,4038.4615384615386,1.25,5048.076923076923
C,P1,20961.53846153846,0.5,10480.76923076923
C,P2,11153.846153846152,0.5,5576.923076923076
C,P3,6153.846153846154,0.75,4615.384615384615
C,P5,6923.076923076923,0.75,5192.307692307692
C,P6,4038.4615384615386,0.5,2019.2307692307693
C,P7,13846.153846153848,0.75,10384.615384615387
D,P1,20961.53846153846,2.5,52403.846153846156
D,P2,11153.846153846152,2.5,27884.615384615383
D,P3,6153.846153846154,3.0,18461.53846153846
D,P4,9230.76923076923,3.0,27692.30769230769
D,P5,6923.076923076923,3.5,24230.76923076923
D,P6,4038.4615384615386,3.0,12115.384615384615
D,P7,13846.153846153848,3.5,48461.53846153847
E,P10,4615.384615384615,1.5,6923.076923076923
E,P11,8076.923076923077,1.25,10096.153846153846
E,P11,8076.923076923077,1.25,10096.153846153846
E,P12,10000.0,1.0,10000.0
E,P13,5000.0,1.25,6250.0
E,P14,18076.923076923078,1.0,18076.923076923078
E,P15,2307.6923076923076,0.75,1730.7692307692307
E,P7,13846.153846153848,1.0,13846.153846153848
E,P8,4615.384615384615,1.25,5769.2307692307695
E,P9,8846.153846153846,1.25,11057.692307692307
F,P10,4615.384615384615,1.75,8076.923076923076
F,P12,10000.0,1.0,10000.0
F,P13,5000.0,1.25,6250.0
F,P13,5000.0,1.0,5000.0
F,P14,18076.923076923078,1.5,27115.384615384617
F,P15,2307.6923076923076,1.25,2884.6153846153848
F,P16,11923.076923076924,1.25,14903.846153846154
F,P7,13846.153846153848,1.5,20769.230769230773
F,P9,8846.153846153846,1.75,15480.76923076923
G,P11,8076.923076923077,0.5,4038.4615384615386
G,P11,8076.923076923077,0.25,2019.2307692307693
G,P12,10000.0,0.5,5000.0
G,P13,5000.0,0.5,2500.0
G,P13,5000.0,0.25,1250.0
G,P14,18076.923076923078,0.5,9038.461538461539
G,P15,2307.6923076923076,0.5,1153.8461538461538
G,P4,9230.76923076923,0.25,2307.6923076923076
G,P9,8846.153846153846,0.75,6634.615384615385
G,P9,8846.153846153846,0.5,4423.076923076923
H,P13,5000.0,2.0,10000.0
H,P14,18076.923076923078,1.75,31634.615384615387
H,P15,2307.6923076923076,2.5,5769.2307692307695
H,P16,11923.076923076924,5.0,59615.38461538462
H,P2,11153.846153846152,1.0,11153.846153846152
H,P4,9230.76923076923,1.25,11538.461538461539
H,P6,4038.4615384615386,1.0,4038.4615384615386
H,P8,4615.384615384615,2.0,9230.76923076923
I,P1,20961.53846153846,1.25,26201.923076923078
I,P10,4615.384615384615,1.25,5769.2307692307695
I,P11,8076.923076923077,0.75,6057.692307692308
I,P12,10000.0,1.25,12500.0
I,P13,5000.0,1.25,6250.0
I,P16,11923.076923076924,1.25,14903.846153846154
I,P3,6153.846153846154,1.5,9230.76923076923
I,P5,6923.076923076923,1.75,12115.384615384615
I,P6,4038.4615384615386,1.25,5048.076923076923
I,P7,13846.153846153848,1.25,17307.69230769231
I,P8,4615.384615384615,1.0,4615.384615384615
I,P9,8846.153846153846,1.25,11057.692307692307
J,P1,20961.53846153846,2.5,52403.846153846156
J,P10,4615.384615384615,2.0,9230.76923076923
J,P12,10000.0,2.25,22500.0
J,P15,2307.6923076923076,2.5,5769.2307692307695
J,P16,11923.076923076924,2.5,29807.69230769231
J,P2,11153.846153846152,2.5,27884.615384615383
J,P3,6153.846153846154,2.5,15384.615384615387
J,P6,4038.4615384615386,2.75,11105.76923076923
J,P7,13846.153846153848,2.0,27692.307692307695
J,P8,4615.384615384615,0.5,2307.6923076923076
J,P9,8846.153846153846,3.0,26538.46153846154
K,P17,5000.0,0.75,3750.0
K,P18,11923.076923076924,0.75,8942.307692307693
K,P18,11923.076923076924,0.5,5961.538461538462
K,P20,14807.692307692307,0.75,11105.76923076923
L,P17,5000.0,3.0,15000.0
L,P18,11923.076923076924,1.25,14903.846153846154
L,P19,20000.0,2.25,45000.0
L,P19,20000.0,2.0,40000.0
L,P20,14807.692307692307,2.0,29615.384615384613
M,P17,5000.0,3.5,17500.0
M,P18,11923.076923076924,3.75,44711.53846153846
M,P19,20000.0,2.5,50000.0
M,P19,20000.0,3.75,75000.0
M,P20,14807.692307692307,3.0,44423.07692307692
