,A,B,C,D,E,F,G,H,I,J,K,L,M
A,0.0,17115.384615384613,5576.923076923076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,10480.76923076923,0.0,15961.538461538461,7692.307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,0.0,0.0,0.0,28461.53846153846,0.0,0.0,0.0,0.0,3076.923076923077,0.0,0.0,0.0,0.0
D,0.0,0.0,3076.923076923077,0.0,0.0,0.0,4615.384615384615,7596.153846153846,20865.384615384617,0.0,0.0,0.0,0.0
E,0.0,0.0,0.0,0.0,0.0,20769.230769230773,18653.846153846152,2307.6923076923076,0.0,0.0,0.0,0.0,0.0
F,0.0,0.0,6923.076923076924,0.0,0.0,0.0,18461.53846153846,7115.384615384616,7307.692307692308,0.0,0.0,0.0,0.0
G,0.0,0.0,0.0,0.0,8461.538461538461,8653.846153846154,0.0,16153.846153846156,8461.538461538461,0.0,0.0,0.0,0.0
H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10480.76923076923,9038.461538461537,0.0,0.0,0.0
I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40192.307692307695,0.0,0.0,0.0
J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2307.6923076923076,0.0,0.0,0.0,0.0
K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8461.538461538461,13365.384615384617
L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13365.384615384617,0.0,22500.0
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
