Process,In_Flow_per_Center,Out_Flow_per_Center,Total_In_Flow,Total_Out_Flow
A,5240.384615384615,11346.153846153844,20961.53846153846,45384.615384615376
B,8557.692307692307,17067.30769230769,34230.76923076923,68269.23076923077
C,15769.23076923077,15769.23076923077,63076.92307692308,63076.92307692308
D,18076.923076923078,18076.923076923078,72307.69230769231,72307.69230769231
E,4230.7692307692305,20865.384615384617,16923.076923076922,83461.53846153847
F,14711.538461538465,19903.846153846152,58846.15384615386,79615.38461538461
G,20865.384615384613,20865.384615384617,83461.53846153845,83461.53846153847
H,16586.53846153846,9759.615384615383,66346.15384615384,39038.46153846153
I,26250.000000000004,20096.153846153848,105000.00000000001,80384.61538461539
J,24615.384615384617,1153.8461538461538,98461.53846153847,4615.384615384615
K,6682.6923076923085,10913.461538461539,26730.769230769234,43653.846153846156
L,9230.76923076923,17932.69230769231,36923.07692307692,71730.76923076923
M,17932.69230769231,5000.0,71730.76923076923,20000.0
