Process,Group,X_Position_ft,Y_Position_ft,Width_ft,Depth_ft,Center_X_ft,Center_Y_ft,Area_sqft
A,ABCD,156,-154,28,38,170.0,-135.0,1064
B,ABCD,104,-154,42,62,125.0,-123.0,2604
C,ABCD,66,-154,28,38,80.0,-135.0,1064
D,ABCD,0,-154,56,74,28.0,-117.0,4144
E,EFG,54,0,66,75,87.0,37.5,4950
F,EFG,0,-70,66,60,33.0,-40.0,3960
G,EFG,0,0,44,45,22.0,22.5,1980
H,HIJ,-122,0,112,72,-66.0,36.0,8064
I,HIJ,-94,-118,84,108,-52.0,-64.0,9072
J,HIJ,-230,-118,126,108,-167.0,-64.0,13608
K,KLM,30,85,14,25,37.0,97.5,350
L,KLM,54,85,28,49,68.0,109.5,1372
M,KLM,54,144,70,31,89.0,159.5,2170
