Process,Group,Equipment_Count,Grid_Layout,Block_Width_ft,Block_Depth_ft,Block_Area_sqft,Origin_Based_X_ft,Origin_Based_Y_ft,Centroid_X_ft,Centroid_Y_ft
A,ABCD,5,2×3,28,38,1064,386,0,400.0,19.0
B,ABCD,15,3×5,42,62,2604,334,0,355.0,31.0
C,ABCD,5,2×3,28,38,1064,296,0,310.0,19.0
D,ABCD,22,4×6,56,74,4144,230,0,258.0,37.0
E,EFG,14,5×3,66,75,4950,284,154,317.0,191.5
F,EFG,12,4×3,66,60,3960,230,84,263.0,114.0
G,EFG,6,3×2,44,45,1980,230,154,252.0,176.5
H,HIJ,16,2×8,112,72,8064,108,154,164.0,190.0
I,HIJ,17,3×6,84,108,9072,136,36,178.0,90.0
J,HIJ,27,3×9,126,108,13608,0,36,63.0,90.0
K,KLM,4,1×4,14,25,350,260,239,267.0,251.5
L,KLM,16,2×8,28,49,1372,284,239,298.0,263.5
M,KLM,25,5×5,70,31,2170,284,298,319.0,313.5
