Year,Fractal_Config,Capital_Investment,Annual_Operating,Annual_Depreciation,Total_Annual_Cost,Capital_per_Center,Annual_Cost_per_Center
2,2,180840000,138236800.0,18084000.0,156320800.0,90420000.0,78160400.0
2,3,181620000,139027200.0,18162000.0,157189200.0,60540000.0,52396400.0
2,4,184600000,140857600.0,18460000.0,159317600.0,46150000.0,39829400.0
2,5,184700000,141752000.0,18470000.0,160222000.0,36940000.0,32044400.0
3,2,196600000,150467200.0,19660000.0,170127200.0,98300000.0,85063600.0
3,3,199710000,153067200.0,19971000.0,173038200.0,66570000.0,57679400.0
3,4,201200000,154003200.0,20120000.0,174123200.0,50300000.0,43530800.0
3,5,202450000,156000000.0,20245000.0,176245000.0,40490000.0,35249000.0
4,2,214120000,164860800.0,21412000.0,186272800.0,107060000.0,93136400.0
4,3,216750000,166233600.0,21675000.0,187908600.0,72250000.0,62636200.0
4,4,216520000,166816000.0,21652000.0,188468000.0,54130000.0,47117000.0
4,5,221350000,170560000.0,22135000.0,192695000.0,44270000.0,38539000.0
5,2,238340000,184620800.0,23834000.0,208454800.0,119170000.0,104227400.0
5,3,239490000,184641600.0,23949000.0,208590600.0,79830000.0,69530200.0
5,4,239840000,185952000.0,23984000.0,209936000.0,59960000.0,52484000.0
5,5,243250000,188968000.0,24325000.0,213293000.0,48650000.0,42658600.0
