Year,Num_Fractals,Capacity_per_Center_%,Total_Equipment,Avg_Equipment_per_Center,Avg_Utilization_%
2,2,50.0,556,278.0,95.31238988999763
2,3,33.333333333333336,558,186.0,95.2539735077255
2,4,25.0,568,142.0,93.00999008340281
2,5,20.0,570,114.0,92.54008443528002
3,2,50.0,602,301.0,98.37444257224548
3,3,33.333333333333336,612,204.0,95.62473419570377
3,4,25.0,616,154.0,95.89577596266923
3,5,20.0,625,125.0,91.83029042900075
4,2,50.0,656,328.0,97.72536283852465
4,3,33.333333333333336,666,222.0,94.99746027692295
4,4,25.0,664,166.0,95.56250996381735
4,5,20.0,680,136.0,92.13272689998358
5,2,50.0,730,365.0,96.38393991143336
5,3,33.333333333333336,732,244.0,96.77229654610042
5,4,25.0,736,184.0,94.37826857292474
5,5,20.0,745,149.0,93.65731723272496
