Year,Process,Total_Workload_Min,Workload_per_Center_Min,Equipment_per_Center,Total_Equipment,Utilization_per_Center,Capacity_per_Equipment
4,A,66625.0,22208.333333333332,6,18,0.8742887587133618,4233.6
4,B,231475.0,77158.33333333333,19,57,0.9592226266725012,4233.6
4,C,64150.0,21383.333333333332,6,18,0.8418104896279498,4233.6
4,D,335750.0,111916.66666666667,27,81,0.9790867650215093,4233.6
4,E,198475.0,66158.33333333333,16,48,0.9766855237465355,4233.6
4,F,181375.0,60458.333333333336,15,45,0.9520397665238934,4233.6
4,G,75275.0,25091.666666666668,6,18,0.9877986688502561,4233.6
4,H,238850.0,79616.66666666667,19,57,0.9897843152855683,4233.6
4,I,247225.0,82408.33333333333,20,60,0.9732654635928445,4233.6
4,J,405375.0,135125.0,32,96,0.9974150250377928,4233.6
4,K,55350.0,18450.0,5,15,0.8715986394557823,4233.6
4,L,244825.0,81608.33333333333,20,60,0.9638172398589064,4233.6
4,M,386975.0,128991.66666666667,31,93,0.982856553613082,4233.6
