Year,Process,Total_Workload_Min,Workload_per_Center_Min,Equipment_per_Center,Total_Equipment,Utilization_per_Center,Base_Capacity_per_Equipment
5,A,68775.0,34387.5,9,18,0.9025,4233.6
5,B,252050.0,126025.0,30,60,0.9923,4233.6
5,C,70550.0,35275.0,9,18,0.9258,4233.6
5,D,364850.0,182425.0,44,88,0.9793,4233.6
5,E,231250.0,115625.0,28,56,0.9754,4233.6
5,F,199825.0,99912.5,24,48,0.9833,4233.6
5,G,87075.0,43537.5,11,22,0.9349,4233.6
5,H,265075.0,132537.5,32,64,0.9783,4233.6
5,I,281725.0,140862.5,34,68,0.9786,4233.6
5,J,451025.0,225512.5,54,108,0.9864,4233.6
5,K,61100.0,30550.0,8,16,0.902,4233.6
5,L,268950.0,134475.0,32,64,0.9926,4233.6
5,M,422700.0,211350.0,50,100,0.9984,4233.6
