to,total_flow,total_distance_travelled_ft,total_distance_travelled_km
A,5240.384615384615,179095.463,54588.295
B,8557.692307692307,292467.821,89144.189
C,15769.23076923077,1372099.939,418216.048
D,18076.923076923078,989622.167,301636.827
E,4230.769230769231,331731.159,101111.654
F,14711.538461538465,649966.931,198109.914
G,20865.384615384613,1704717.258,519597.804
H,16586.53846153846,1939014.839,591011.704
I,26250.0,2718310.329,828540.962
J,24615.384615384617,3110862.234,948190.779
K,6682.6923076923085,157717.202,48072.202
L,9230.76923076923,418793.308,127648.196
M,17932.69230769231,1050552.588,320208.419
