from,to,flow,distance_ft,flow_x_distance
I,J,20096.153846153848,125.543,2522927.853
D,I,10432.692307692309,95.425,995543.456
F,C,3461.538461538462,241.854,837186.155
C,D,14230.76923076923,54.406,774237.552
E,G,9326.923076923076,78.409,731316.42
L,M,11250.0,63.789,717623.03
G,H,8076.923076923078,87.144,703851.828
F,I,3653.846153846154,173.788,634994.416
H,J,4519.230769230769,130.096,587934.381
F,G,9230.76923076923,59.927,553172.667
D,H,3798.076923076923,139.635,530345.379
F,H,3557.692307692308,146.82,522342.052
G,I,4230.769230769231,115.039,486703.985
D,G,2307.692307692308,182.099,420228.171
E,F,10384.615384615388,37.62,390667.243
K,M,6682.6923076923085,49.82,332929.558
G,E,4230.769230769231,78.409,331731.159
M,L,5000.0,63.789,318943.569
A,B,8557.692307692307,34.176,292467.821
B,C,7980.7692307692305,34.176,272750.889
G,F,4326.923076923077,59.927,259299.688
H,I,5240.384615384615,45.695,239457.481
C,I,1538.4615384615386,140.89,216753.889
B,D,3846.153846153846,56.0,215384.615
E,H,1153.8461538461538,158.146,182475.58
B,A,5240.384615384615,34.176,179095.463
A,C,2788.461538461538,64.0,178461.538
L,K,6682.6923076923085,23.601,157717.202
J,I,1153.8461538461538,125.543,144857.102
K,L,4230.769230769231,23.601,99849.739
D,C,1538.4615384615386,54.406,83701.357
A,M,0.0,244.164,0.0
A,J,0.0,188.152,0.0
A,I,0.0,144.921,0.0
A,H,0.0,190.373,0.0
A,G,0.0,236.457,0.0
A,F,0.0,283.967,0.0
A,E,0.0,313.081,0.0
A,L,0.0,236.811,0.0
A,D,0.0,54.406,0.0
A,A,0.0,0.0,0.0
D,B,0.0,56.0,0.0
D,A,0.0,54.406,0.0
C,M,0.0,226.769,0.0
C,L,0.0,236.54,0.0
C,K,0.0,216.169,0.0
C,J,0.0,137.902,0.0
C,H,0.0,181.069,0.0
C,G,0.0,203.273,0.0
C,A,0.0,64.0,0.0
C,F,0.0,241.854,0.0
C,E,0.0,274.758,0.0
C,C,0.0,0.0,0.0
B,M,0.0,245.007,0.0
C,B,0.0,34.176,0.0
B,K,0.0,227.994,0.0
B,L,0.0,246.502,0.0
B,B,0.0,0.0,0.0
A,K,0.0,220.566,0.0
B,J,0.0,169.425,0.0
B,I,0.0,151.268,0.0
B,H,0.0,194.879,0.0
B,G,0.0,228.473,0.0
B,F,0.0,270.927,0.0
B,E,0.0,302.476,0.0
E,M,0.0,112.402,0.0
E,E,0.0,0.0,0.0
E,C,0.0,274.758,0.0
E,B,0.0,302.476,0.0
E,A,0.0,313.081,0.0
D,M,0.0,191.51,0.0
E,J,0.0,143.279,0.0
E,I,0.0,192.13,0.0
F,E,0.0,37.62,0.0
F,F,0.0,0.0,0.0
F,B,0.0,270.927,0.0
F,D,0.0,230.619,0.0
F,A,0.0,283.967,0.0
E,K,0.0,162.059,0.0
E,L,0.0,175.001,0.0
F,J,0.0,107.384,0.0
G,C,0.0,203.273,0.0
G,B,0.0,228.473,0.0
G,A,0.0,236.457,0.0
F,M,0.0,112.539,0.0
G,G,0.0,0.0,0.0
G,D,0.0,182.099,0.0
F,K,0.0,159.138,0.0
F,L,0.0,176.148,0.0
G,K,0.0,103.302,0.0
G,J,0.0,88.119,0.0
G,L,0.0,122.968,0.0
G,M,0.0,63.105,0.0
H,C,0.0,181.069,0.0
H,D,0.0,139.635,0.0
H,A,0.0,190.373,0.0
H,B,0.0,194.879,0.0
H,F,0.0,146.82,0.0
E,D,0.0,258.99,0.0
D,K,0.0,172.155,0.0
D,L,0.0,190.503,0.0
D,F,0.0,230.619,0.0
D,E,0.0,258.99,0.0
D,D,0.0,0.0,0.0
D,J,0.0,139.316,0.0
I,A,0.0,144.921,0.0
H,M,0.0,57.107,0.0
H,L,0.0,59.483,0.0
H,K,0.0,36.527,0.0
H,G,0.0,87.144,0.0
H,H,0.0,0.0,0.0
H,E,0.0,158.146,0.0
I,D,0.0,95.425,0.0
I,I,0.0,0.0,0.0
I,K,0.0,76.735,0.0
I,L,0.0,95.834,0.0
I,B,0.0,151.268,0.0
I,F,0.0,173.788,0.0
I,G,0.0,115.039,0.0
I,H,0.0,45.695,0.0
I,C,0.0,140.89,0.0
J,D,0.0,139.316,0.0
J,E,0.0,143.279,0.0
J,G,0.0,88.119,0.0
J,F,0.0,107.384,0.0
J,H,0.0,130.096,0.0
J,J,0.0,0.0,0.0
J,K,0.0,162.3,0.0
J,L,0.0,185.713,0.0
J,M,0.0,140.877,0.0
K,A,0.0,220.566,0.0
K,B,0.0,227.994,0.0
I,M,0.0,101.662,0.0
J,A,0.0,188.152,0.0
J,B,0.0,169.425,0.0
J,C,0.0,137.902,0.0
I,E,0.0,192.13,0.0
K,G,0.0,103.302,0.0
K,F,0.0,159.138,0.0
K,E,0.0,162.059,0.0
K,D,0.0,172.155,0.0
K,C,0.0,216.169,0.0
K,K,0.0,0.0,0.0
K,H,0.0,36.527,0.0
K,I,0.0,76.735,0.0
L,C,0.0,236.54,0.0
L,D,0.0,190.503,0.0
L,E,0.0,175.001,0.0
L,F,0.0,176.148,0.0
L,G,0.0,122.968,0.0
K,J,0.0,162.3,0.0
L,A,0.0,236.811,0.0
L,B,0.0,246.502,0.0
L,J,0.0,185.713,0.0
L,I,0.0,95.834,0.0
L,H,0.0,59.483,0.0
L,L,0.0,0.0,0.0
M,B,0.0,245.007,0.0
M,C,0.0,226.769,0.0
M,D,0.0,191.51,0.0
M,A,0.0,244.164,0.0
M,E,0.0,112.402,0.0
M,F,0.0,112.539,0.0
M,H,0.0,57.107,0.0
M,G,0.0,63.105,0.0
M,I,0.0,101.662,0.0
M,J,0.0,140.877,0.0
M,K,0.0,49.82,0.0
