Process,In_Flow_per_Center,Out_Flow_per_Center,Total_In_Flow,Total_Out_Flow
A,13050.0,30200.0,26100.0,60400.0
B,22500.0,46300.0,45000.0,92600.0
C,44300.0,44300.0,88600.0,88600.0
D,49400.0,49400.0,98800.0,98800.0
E,13300.0,67800.0,26600.0,135600.0
F,45350.0,57450.0,90700.0,114900.0
G,65200.0,65200.0,130400.0,130400.0
H,49500.0,32100.0,99000.0,64200.0
I,79450.0,56750.0,158900.0,113500.0
J,73550.0,6100.0,147100.0,12200.0
K,19400.0,33650.0,38800.0,67300.0
L,27150.0,50600.0,54300.0,101200.0
M,50600.0,12900.0,101200.0,25800.0
