,A,B,C,D,E,F,G,H,I,J,K,L,M
A,0.0,11925.0,3825.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,6825.0,0.0,11750.0,6875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,0.0,0.0,0.0,19800.0,0.0,0.0,0.0,0.0,4250.0,0.0,0.0,0.0,0.0
D,0.0,0.0,4250.0,0.0,0.0,0.0,2625.0,6300.0,13500.0,0.0,0.0,0.0,0.0
E,0.0,0.0,0.0,0.0,0.0,14975.0,19825.0,3975.0,0.0,0.0,0.0,0.0,0.0
F,0.0,0.0,4225.0,0.0,0.0,0.0,14675.0,5200.0,7225.0,0.0,0.0,0.0,0.0
G,0.0,0.0,0.0,0.0,7775.0,10000.0,0.0,11575.0,7775.0,0.0,0.0,0.0,0.0
H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8400.0,9725.0,0.0,0.0,0.0
I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31350.0,0.0,0.0,0.0
J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3975.0,0.0,0.0,0.0,0.0
K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8075.0,10425.0
L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10425.0,0.0,17075.0
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6900.0,0.0
