Year,From,To,Flow,Center_ID
5,A,B,26700.0,1
5,A,C,7400.0,1
5,B,A,14900.0,1
5,B,C,27200.0,1
5,B,D,19000.0,1
5,C,D,43100.0,1
5,C,I,13450.0,1
5,D,C,13450.0,1
5,D,G,5550.0,1
5,D,H,13650.0,1
5,D,I,29450.0,1
5,E,F,33100.0,1
5,E,G,56100.0,1
5,E,H,12300.0,1
5,F,C,8500.0,1
5,F,G,35100.0,1
5,F,H,12950.0,1
5,F,I,18900.0,1
5,G,E,21200.0,1
5,G,F,28200.0,1
5,G,H,26150.0,1
5,G,I,21200.0,1
5,H,I,20300.0,1
5,H,J,25800.0,1
5,I,J,76150.0,1
5,J,I,12300.0,1
5,K,L,20450.0,1
5,K,M,24000.0,1
5,L,K,24000.0,1
5,L,M,40800.0,1
5,M,L,15750.0,1
