,A,B,C,D,E,F,G,H,I,J,K,L,M
A,0.0,13350.0,3700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,7450.0,0.0,13600.0,9500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,0.0,0.0,0.0,21550.0,0.0,0.0,0.0,0.0,6725.0,0.0,0.0,0.0,0.0
D,0.0,0.0,6725.0,0.0,0.0,0.0,2775.0,6825.0,14725.0,0.0,0.0,0.0,0.0
E,0.0,0.0,0.0,0.0,0.0,16550.0,28050.0,6150.0,0.0,0.0,0.0,0.0,0.0
F,0.0,0.0,4250.0,0.0,0.0,0.0,17550.0,6475.0,9450.0,0.0,0.0,0.0,0.0
G,0.0,0.0,0.0,0.0,10600.0,14100.0,0.0,13075.0,10600.0,0.0,0.0,0.0,0.0
H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10150.0,12900.0,0.0,0.0,0.0
I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38075.0,0.0,0.0,0.0
J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6150.0,0.0,0.0,0.0,0.0
K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10225.0,12000.0
L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12000.0,0.0,20400.0
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875.0,0.0
