process,group,equipment_count,layout_grid,rows,cols,total_spaces,wasted_spaces,machine_width_ft,machine_depth_ft,block_width_ft,block_depth_ft,block_area_sqft,aspect_ratio,utilization,perimeter_ft,optimization_score
A,ABCD,3,1×3,1,3,3,0,14,14,38,14,532,3.0,1.0,104,145.32
B,ABCD,9,3×3,3,3,9,0,14,14,38,38,1444,1.0,1.0,152,74.44
C,ABCD,3,1×3,1,3,3,0,14,14,38,14,532,3.0,1.0,104,145.32
D,ABCD,13,2×7,2,7,14,1,14,14,86,26,2236,3.5,0.9286,224,351.65
E,EFG,6,2×3,2,3,6,0,22,15,66,30,1980,1.5,1.0,192,94.8
F,EFG,7,2×4,2,4,8,1,22,15,88,30,2640,2.0,0.875,236,261.4
G,EFG,3,1×3,1,3,3,0,22,15,66,15,990,3.0,1.0,162,149.9
H,HIJ,9,3×3,3,3,9,0,14,36,42,108,4536,1.0,1.0,300,105.36
I,HIJ,8,2×4,2,4,8,0,14,36,56,72,4032,2.0,1.0,256,150.32
J,HIJ,14,2×7,2,7,14,0,14,36,98,72,7056,3.5,1.0,340,285.56
K,KLM,2,2×1,2,1,2,0,7,14,7,27,189,2.0,1.0,68,81.89
L,KLM,9,3×3,3,3,9,0,7,14,21,40,840,1.0,1.0,122,68.4
M,KLM,14,7×2,7,2,14,0,7,14,14,92,1288,3.5,1.0,212,227.88
