Process,Equipment_ID,Grid_Row,Grid_Col,X_Position_ft,Y_Position_ft,Width_ft,Depth_ft,Center_X_ft,Center_Y_ft
A,A01,0,0,0,0,14,14,7.0,7.0
A,A02,0,1,12,0,14,14,19.0,7.0
A,A03,0,2,24,0,14,14,31.0,7.0
A,A04,1,0,0,12,14,14,7.0,19.0
A,A05,1,1,12,12,14,14,19.0,19.0
B,B01,0,0,46,0,14,14,53.0,7.0
B,B02,0,1,58,0,14,14,65.0,7.0
B,B03,0,2,70,0,14,14,77.0,7.0
B,B04,0,3,82,0,14,14,89.0,7.0
B,B05,0,4,94,0,14,14,101.0,7.0
B,B06,1,0,46,12,14,14,53.0,19.0
B,B07,1,1,58,12,14,14,65.0,19.0
B,B08,1,2,70,12,14,14,77.0,19.0
B,B09,1,3,82,12,14,14,89.0,19.0
B,B10,1,4,94,12,14,14,101.0,19.0
B,B11,2,0,46,24,14,14,53.0,31.0
B,B12,2,1,58,24,14,14,65.0,31.0
B,B13,2,2,70,24,14,14,77.0,31.0
B,B14,2,3,82,24,14,14,89.0,31.0
B,B15,2,4,94,24,14,14,101.0,31.0
C,C01,0,0,116,0,14,14,123.0,7.0
C,C02,0,1,128,0,14,14,135.0,7.0
C,C03,0,2,140,0,14,14,147.0,7.0
C,C04,1,0,116,12,14,14,123.0,19.0
C,C05,1,1,128,12,14,14,135.0,19.0
D,D01,0,0,162,0,14,14,169.0,7.0
D,D02,0,1,174,0,14,14,181.0,7.0
D,D03,0,2,186,0,14,14,193.0,7.0
D,D04,0,3,198,0,14,14,205.0,7.0
D,D05,0,4,210,0,14,14,217.0,7.0
D,D06,0,5,222,0,14,14,229.0,7.0
D,D07,1,0,162,12,14,14,169.0,19.0
D,D08,1,1,174,12,14,14,181.0,19.0
D,D09,1,2,186,12,14,14,193.0,19.0
D,D10,1,3,198,12,14,14,205.0,19.0
D,D11,1,4,210,12,14,14,217.0,19.0
D,D12,1,5,222,12,14,14,229.0,19.0
D,D13,2,0,162,24,14,14,169.0,31.0
D,D14,2,1,174,24,14,14,181.0,31.0
D,D15,2,2,186,24,14,14,193.0,31.0
D,D16,2,3,198,24,14,14,205.0,31.0
D,D17,2,4,210,24,14,14,217.0,31.0
D,D18,2,5,222,24,14,14,229.0,31.0
D,D19,3,0,162,36,14,14,169.0,43.0
D,D20,3,1,174,36,14,14,181.0,43.0
D,D21,3,2,186,36,14,14,193.0,43.0
D,D22,3,3,198,36,14,14,205.0,43.0
E,E01,0,0,0,58,22,15,11.0,65.5
E,E02,0,1,22,58,22,15,33.0,65.5
E,E03,0,2,44,58,22,15,55.0,65.5
E,E04,0,3,66,58,22,15,77.0,65.5
E,E05,0,4,88,58,22,15,99.0,65.5
E,E06,0,5,110,58,22,15,121.0,65.5
E,E07,0,6,132,58,22,15,143.0,65.5
E,E08,1,0,0,73,22,15,11.0,80.5
E,E09,1,1,22,73,22,15,33.0,80.5
E,E10,1,2,44,73,22,15,55.0,80.5
E,E11,1,3,66,73,22,15,77.0,80.5
E,E12,1,4,88,73,22,15,99.0,80.5
E,E13,1,5,110,73,22,15,121.0,80.5
E,E14,1,6,132,73,22,15,143.0,80.5
F,F01,0,0,162,58,22,15,173.0,65.5
F,F02,0,1,184,58,22,15,195.0,65.5
F,F03,0,2,206,58,22,15,217.0,65.5
F,F04,0,3,228,58,22,15,239.0,65.5
F,F05,1,0,162,73,22,15,173.0,80.5
F,F06,1,1,184,73,22,15,195.0,80.5
F,F07,1,2,206,73,22,15,217.0,80.5
F,F08,1,3,228,73,22,15,239.0,80.5
F,F09,2,0,162,88,22,15,173.0,95.5
F,F10,2,1,184,88,22,15,195.0,95.5
F,F11,2,2,206,88,22,15,217.0,95.5
F,F12,2,3,228,88,22,15,239.0,95.5
G,G01,0,0,258,58,22,15,269.0,65.5
G,G02,0,1,280,58,22,15,291.0,65.5
G,G03,0,2,302,58,22,15,313.0,65.5
G,G04,1,0,258,73,22,15,269.0,80.5
G,G05,1,1,280,73,22,15,291.0,80.5
G,G06,1,2,302,73,22,15,313.0,80.5
H,H01,0,0,0,111,14,36,7.0,129.0
H,H02,0,1,14,111,14,36,21.0,129.0
H,H03,0,2,28,111,14,36,35.0,129.0
H,H04,0,3,42,111,14,36,49.0,129.0
H,H05,1,0,0,147,14,36,7.0,165.0
H,H06,1,1,14,147,14,36,21.0,165.0
H,H07,1,2,28,147,14,36,35.0,165.0
H,H08,1,3,42,147,14,36,49.0,165.0
H,H09,2,0,0,183,14,36,7.0,201.0
H,H10,2,1,14,183,14,36,21.0,201.0
H,H11,2,2,28,183,14,36,35.0,201.0
H,H12,2,3,42,183,14,36,49.0,201.0
H,H13,3,0,0,219,14,36,7.0,237.0
H,H14,3,1,14,219,14,36,21.0,237.0
H,H15,3,2,28,219,14,36,35.0,237.0
H,H16,3,3,42,219,14,36,49.0,237.0
I,I01,0,0,64,111,14,36,71.0,129.0
I,I02,0,1,78,111,14,36,85.0,129.0
I,I03,0,2,92,111,14,36,99.0,129.0
I,I04,0,3,106,111,14,36,113.0,129.0
I,I05,0,4,120,111,14,36,127.0,129.0
