Process,Group,X_Position_ft,Y_Position_ft,Width_ft,Depth_ft,Area_sqft,Equipment_Count,Grid_Layout,Utilization
A,ABCD,0,0,38,26,988,5,2×3,83.33%
B,ABCD,46,0,62,38,2356,15,3×5,100.00%
C,ABCD,116,0,38,26,988,5,2×3,83.33%
D,ABCD,162,0,74,50,3700,22,4×6,91.67%
E,EFG,0,58,154,30,4620,14,2×7,100.00%
F,EFG,162,58,88,45,3960,12,3×4,100.00%
G,EFG,258,58,66,30,1980,6,2×3,100.00%
H,HIJ,0,111,56,144,8064,16,4×4,100.00%
I,HIJ,64,111,84,108,9072,17,3×6,94.44%
J,HIJ,156,111,126,108,13608,27,3×9,100.00%
K,KLM,0,263,27,14,378,4,2×2,100.00%
L,KLM,35,263,53,28,1484,16,4×4,100.00%
M,KLM,96,263,66,35,2310,25,5×5,100.00%
