Year,Process,Total_In_Flow,Total_Out_Flow
Year 1,A,20961.53846153846,45384.615384615376
Year 1,B,34230.76923076923,68269.23076923077
Year 1,C,63076.92307692308,63076.92307692308
Year 1,D,72307.69230769231,72307.69230769231
Year 1,E,16923.076923076922,83461.53846153847
Year 1,F,58846.15384615386,79615.38461538462
Year 1,G,83461.53846153847,83461.53846153847
Year 1,H,66346.15384615384,39038.46153846154
Year 1,I,105000.00000000001,80384.61538461539
Year 1,J,98461.53846153847,4615.384615384615
Year 1,K,26730.769230769234,43653.846153846156
Year 1,L,36923.07692307692,71730.76923076923
Year 1,M,71730.76923076923,20000.0
Year 2,A,26100.0,60400.0
Year 2,B,45000.0,92600.0
Year 2,C,88600.0,88600.0
Year 2,D,98800.0,98800.0
Year 2,E,26600.0,135600.0
Year 2,F,90700.0,114900.0
Year 2,G,130400.0,130400.0
Year 2,H,99000.0,64200.0
Year 2,I,158900.0,113500.0
Year 2,J,147100.0,12200.0
Year 2,K,38800.0,67300.0
Year 2,L,54300.0,101200.0
Year 2,M,101200.0,25800.0
Year 3,A,27300.0,63000.0
Year 3,B,47700.0,101800.0
Year 3,C,96200.0,96200.0
Year 3,D,106700.0,106700.0
Year 3,E,31100.0,155100.0
Year 3,F,99900.0,125300.0
Year 3,G,148500.0,148500.0
Year 3,H,108200.0,72500.0
Year 3,I,180500.0,125400.0
Year 3,J,164300.0,15900.0
Year 3,K,41700.0,74000.0
Year 3,L,59900.0,110000.0
Year 3,M,110000.0,27600.0
Year 4,A,28500.0,65600.0
Year 4,B,50400.0,111000.0
Year 4,C,103800.0,103800.0
Year 4,D,114600.0,114600.0
Year 4,E,35600.0,174600.0
Year 4,F,109100.0,135700.0
Year 4,G,166600.0,166600.0
Year 4,H,117400.0,80800.0
Year 4,I,202100.0,137300.0
Year 4,J,181500.0,19600.0
Year 4,K,44600.0,80700.0
Year 4,L,65500.0,118800.0
Year 4,M,118800.0,29400.0
Year 5,A,29800.0,68200.0
Year 5,B,53400.0,122200.0
Year 5,C,113100.0,113100.0
Year 5,D,124200.0,124200.0
Year 5,E,42400.0,203000.0
Year 5,F,122600.0,150900.0
Year 5,G,193500.0,193500.0
Year 5,H,130100.0,92200.0
Year 5,I,231200.0,152300.0
Year 5,J,203900.0,24600.0
Year 5,K,48000.0,88900.0
Year 5,L,72400.0,129600.0
Year 5,M,129600.0,31500.0
