Year,Process,Weekly_Minutes,Weekly_Hours,Equipment_1_Shift,Equipment_2_Shifts,Utilization_1_Shift,Utilization_2_Shifts
+2,A,62075.0,1034.5833333333333,30,15,97.74974804736708,97.74974804736708
+2,B,197175.0,3286.25,94,47,99.09327206059729,99.09327206059729
+2,C,53900.0,898.3333333333334,26,13,97.93447293447292,97.93447293447292
+2,D,288550.0,4809.166666666667,137,69,99.4994510375115,98.77844052274693
+2,E,153275.0,2554.5833333333335,73,37,99.19017074105135,97.84976302833445
+2,F,156275.0,2604.5833333333335,74,37,99.76494351494351,99.76494351494351
+2,G,59425.0,990.4166666666666,29,15,96.80356817056324,93.57678256487779
+2,H,201500.0,3358.3333333333335,96,48,99.15713970773494,99.15713970773494
+2,I,195575.0,3259.5833333333335,93,47,99.34604068628646,98.28916791302808
+2,J,334825.0,5580.416666666667,159,80,99.48117961370431,98.85942224111866
+2,K,46050.0,767.5,22,11,98.88425066996494,98.88425066996494
+2,L,206375.0,3439.5833333333335,98,49,99.48352923936014,99.48352923936014
+2,M,328725.0,5478.75,156,78,99.54703035060176,99.54703035060176
+3,A,64350.0,1072.5,31,16,98.06341891595348,94.99893707482993
+3,B,214325.0,3572.0833333333335,102,51,99.26424273413069,99.26424273413069
+3,C,59025.0,983.75,28,14,99.58596533851635,99.58596533851635
+3,D,312150.0,5202.5,148,74,99.63726481583623,99.63726481583623
+3,E,175875.0,2931.25,84,42,98.91109221466363,98.91109221466363
+3,F,168825.0,2813.75,80,40,99.69352324263039,99.69352324263039
+3,G,67350.0,1122.5,32,16,99.42779195011337,99.42779195011337
+3,H,220175.0,3669.5833333333335,105,53,99.0601266961811,98.12559719904732
+3,I,221400.0,3690.0,105,53,99.61127308066082,98.67154408933384
+3,J,370100.0,6168.333333333333,175,88,99.90821725515602,99.34055692984262
+3,K,50700.0,845.0,24,12,99.79686318972031,99.79686318972031
+3,L,225600.0,3760.0,107,54,99.60370441011295,98.68144788779708
+3,M,357850.0,5964.166666666667,170,85,99.44255479969763,99.44255479969763
+4,A,66625.0,1110.4166666666667,32,16,98.3574853552532,98.3574853552532
+4,B,231475.0,3857.9166666666665,110,55,99.41034494605921,99.41034494605921
+4,C,64150.0,1069.1666666666667,31,16,97.75863750518128,94.70368008314436
+4,D,335750.0,5595.833333333333,159,80,99.75601002105944,99.13253495842783
+4,E,198475.0,3307.9166666666665,94,47,99.74660668049725,99.74660668049725
+4,F,181375.0,3022.9166666666665,86,43,99.63206858970977,99.63206858970977
+4,G,75275.0,1254.5833333333333,36,18,98.77986688502561,98.77986688502561
+4,H,238850.0,3980.8333333333335,113,57,99.8543468518184,98.97843152855683
+4,I,247225.0,4120.416666666667,117,59,99.82209883003532,98.97614883995028
+4,J,405375.0,6756.25,192,96,99.74150250377927,99.74150250377927
+4,K,55350.0,922.5,27,14,96.84429327286469,93.38556851311952
+4,L,244825.0,4080.4166666666665,116,58,99.70523170954205,99.70523170954205
+4,M,386975.0,6449.583333333333,183,92,99.89689561313291,99.35397770219198
+5,A,68775.0,1146.25,33,17,98.45478595478593,95.55905695611577
+5,B,252050.0,4200.833333333333,120,60,99.2260330057949,99.2260330057949
+5,C,70550.0,1175.8333333333333,34,17,98.02532123960694,98.02532123960694
+5,D,364850.0,6080.833333333333,173,87,99.62960778402561,99.05702383124387
+5,E,231250.0,3854.1666666666665,110,55,99.31371538514394,99.31371538514394
+5,F,199825.0,3330.4166666666665,95,48,99.36796355969287,98.33288060594607
+5,G,87075.0,1451.25,42,21,97.94096209912536,97.94096209912536
+5,H,265075.0,4417.916666666667,126,63,99.38444072514365,99.38444072514365
+5,I,281725.0,4695.416666666667,134,67,99.32092654640628,99.32092654640628
+5,J,451025.0,7517.083333333333,214,107,99.56507265419148,99.56507265419148
+5,K,61100.0,1018.3333333333334,29,15,99.53215002476085,96.21441169060215
+5,L,268950.0,4482.5,128,64,99.26170989229024,99.26170989229024
+5,M,422700.0,7045.0,200,100,99.84410430839002,99.84410430839002
