Year,Process,Part,Weekly_Part_Demand,Time_Per_Unit_Minutes,Total_Weekly_Minutes
+2,A,P1,26100.0,1.0,26100.0
+2,A,P2,15400.0,1.25,19250.0
+2,A,P4,10200.0,1.0,10200.0
+2,A,P6,8700.0,0.75,6525.0
+2,B,P1,26100.0,2.5,65250.0
+2,B,P1,26100.0,2.5,65250.0
+2,B,P3,12600.0,1.75,22050.0
+2,B,P4,10200.0,2.0,20400.0
+2,B,P5,8900.0,1.5,13350.0
+2,B,P6,8700.0,1.25,10875.0
+2,C,P1,26100.0,0.5,13050.0
+2,C,P2,15400.0,0.5,7700.0
+2,C,P3,12600.0,0.75,9450.0
+2,C,P5,8900.0,0.75,6675.0
+2,C,P6,8700.0,0.5,4350.0
+2,C,P7,16900.0,0.75,12675.0
+2,D,P1,26100.0,2.5,65250.0
+2,D,P2,15400.0,2.5,38500.0
+2,D,P3,12600.0,3.0,37800.0
+2,D,P4,10200.0,3.0,30600.0
+2,D,P5,8900.0,3.5,31150.0
+2,D,P6,8700.0,3.0,26100.0
+2,D,P7,16900.0,3.5,59150.0
+2,E,P10,6800.0,1.5,10200.0
+2,E,P11,15200.0,1.25,19000.0
+2,E,P11,15200.0,1.25,19000.0
+2,E,P12,18200.0,1.0,18200.0
+2,E,P13,9100.0,1.25,11375.0
+2,E,P14,24600.0,1.0,24600.0
+2,E,P15,6000.0,0.75,4500.0
+2,E,P7,16900.0,1.0,16900.0
+2,E,P8,12200.0,1.25,15250.0
+2,E,P9,11400.0,1.25,14250.0
+2,F,P10,6800.0,1.75,11900.0
+2,F,P12,18200.0,1.0,18200.0
+2,F,P13,9100.0,1.25,11375.0
+2,F,P13,9100.0,1.0,9100.0
+2,F,P14,24600.0,1.5,36900.0
+2,F,P15,6000.0,1.25,7500.0
+2,F,P16,12800.0,1.25,16000.0
+2,F,P7,16900.0,1.5,25350.0
+2,F,P9,11400.0,1.75,19950.0
+2,G,P11,15200.0,0.5,7600.0
+2,G,P11,15200.0,0.25,3800.0
+2,G,P12,18200.0,0.5,9100.0
+2,G,P13,9100.0,0.5,4550.0
+2,G,P13,9100.0,0.25,2275.0
+2,G,P14,24600.0,0.5,12300.0
+2,G,P15,6000.0,0.5,3000.0
+2,G,P4,10200.0,0.25,2550.0
+2,G,P9,11400.0,0.75,8550.0
+2,G,P9,11400.0,0.5,5700.0
+2,H,P13,9100.0,2.0,18200.0
+2,H,P14,24600.0,1.75,43050.0
+2,H,P15,6000.0,2.5,15000.0
+2,H,P16,12800.0,5.0,64000.0
+2,H,P2,15400.0,1.0,15400.0
+2,H,P4,10200.0,1.25,12750.0
+2,H,P6,8700.0,1.0,8700.0
+2,H,P8,12200.0,2.0,24400.0
+2,I,P1,26100.0,1.25,32625.0
+2,I,P10,6800.0,1.25,8500.0
+2,I,P11,15200.0,0.75,11400.0
+2,I,P12,18200.0,1.25,22750.0
+2,I,P13,9100.0,1.25,11375.0
+2,I,P16,12800.0,1.25,16000.0
+2,I,P3,12600.0,1.5,18900.0
+2,I,P5,8900.0,1.75,15575.0
+2,I,P6,8700.0,1.25,10875.0
+2,I,P7,16900.0,1.25,21125.0
+2,I,P8,12200.0,1.0,12200.0
+2,I,P9,11400.0,1.25,14250.0
+2,J,P1,26100.0,2.5,65250.0
+2,J,P10,6800.0,2.0,13600.0
+2,J,P12,18200.0,2.25,40950.0
+2,J,P15,6000.0,2.5,15000.0
+2,J,P16,12800.0,2.5,32000.0
+2,J,P2,15400.0,2.5,38500.0
+2,J,P3,12600.0,2.5,31500.0
+2,J,P6,8700.0,2.75,23925.0
+2,J,P7,16900.0,2.0,33800.0
+2,J,P8,12200.0,0.5,6100.0
+2,J,P9,11400.0,3.0,34200.0
+2,K,P17,10800.0,0.75,8100.0
+2,K,P18,17700.0,0.75,13275.0
+2,K,P18,17700.0,0.5,8850.0
+2,K,P20,21100.0,0.75,15825.0
+2,L,P17,10800.0,3.0,32400.0
+2,L,P18,17700.0,1.25,22125.0
