Year,Part,Weekly_Demand
+2,P1,26100.0
+2,P2,15400.0
+2,P3,12600.0
+2,P4,10200.0
+2,P5,8900.0
+2,P6,8700.0
+2,P7,16900.0
+2,P8,12200.0
+2,P9,11400.0
+2,P10,6800.0
+2,P11,15200.0
+2,P12,18200.0
+2,P13,9100.0
+2,P14,24600.0
+2,P15,6000.0
+2,P16,12800.0
+2,P17,10800.0
+2,P18,17700.0
+2,P19,25800.0
+2,P20,21100.0
+3,P1,27300.0
+3,P2,15300.0
+3,P3,17000.0
+3,P4,10500.0
+3,P5,9800.0
+3,P6,9900.0
+3,P7,16900.0
+3,P8,15900.0
+3,P9,12300.0
+3,P10,7200.0
+3,P11,18800.0
+3,P12,21700.0
+3,P13,10600.0
+3,P14,25200.0
+3,P15,7700.0
+3,P16,13100.0
+3,P17,13100.0
+3,P18,19200.0
+3,P19,27600.0
+3,P20,22500.0
+4,P1,28500.0
+4,P2,15200.0
+4,P3,21400.0
+4,P4,10800.0
+4,P5,10700.0
+4,P6,11100.0
+4,P7,16900.0
+4,P8,19600.0
+4,P9,13200.0
+4,P10,7600.0
+4,P11,22400.0
+4,P12,25200.0
+4,P13,12100.0
+4,P14,25800.0
+4,P15,9400.0
+4,P16,13400.0
+4,P17,15400.0
+4,P18,20700.0
+4,P19,29400.0
+4,P20,23900.0
+5,P1,29800.0
+5,P2,14800.0
+5,P3,26900.0
+5,P4,11100.0
+5,P5,12100.0
+5,P6,12500.0
+5,P7,17000.0
+5,P8,24600.0
+5,P9,14600.0
+5,P10,8000.0
+5,P11,27800.0
+5,P12,29800.0
+5,P13,14400.0
+5,P14,26800.0
+5,P15,12200.0
+5,P16,13700.0
+5,P17,18600.0
+5,P18,22300.0
+5,P19,31500.0
+5,P20,25700.0
