Year,Process,Units_Required,Cost_Per_Unit,Total_Installed_Cost,Total_Relocation_Cost,Total_Process_Cost,Utilization_2_Shifts
2,A,15,160000,2250000,150000,2400000,97.74974804736708
2,B,47,210000,9400000,470000,9870000,99.09327206059729
2,C,13,260000,3250000,130000,3380000,97.93447293447292
2,D,69,310000,20700000,690000,21390000,98.77844052274692
2,E,37,450000,14800000,1850000,16650000,97.84976302833444
2,F,37,450000,14800000,1850000,16650000,99.76494351494352
2,G,15,450000,6000000,750000,6750000,93.5767825648778
2,H,48,1100000,48000000,4800000,52800000,99.15713970773494
2,I,47,600000,23500000,4700000,28200000,98.28916791302808
2,J,80,600000,40000000,8000000,48000000,98.85942224111866
2,K,11,82000,880000,22000,902000,98.88425066996494
2,L,49,102000,4900000,98000,4998000,99.48352923936014
2,M,78,52000,3900000,156000,4056000,99.54703035060176
3,A,16,160000,2400000,160000,2560000,94.99893707482993
3,B,51,210000,10200000,510000,10710000,99.26424273413068
3,C,14,260000,3500000,140000,3640000,99.58596533851636
3,D,74,310000,22200000,740000,22940000,99.63726481583625
3,E,42,450000,16800000,2100000,18900000,98.91109221466364
3,F,40,450000,16000000,2000000,18000000,99.6935232426304
3,G,16,450000,6400000,800000,7200000,99.42779195011336
3,H,53,1100000,53000000,5300000,58300000,98.12559719904732
3,I,53,600000,26500000,5300000,31800000,98.67154408933384
3,J,88,600000,44000000,8800000,52800000,99.34055692984262
3,K,12,82000,960000,24000,984000,99.79686318972033
3,L,54,102000,5400000,108000,5508000,98.68144788779708
3,M,85,52000,4250000,170000,4420000,99.44255479969765
4,A,16,160000,2400000,160000,2560000,98.3574853552532
4,B,55,210000,11000000,550000,11550000,99.4103449460592
4,C,16,260000,4000000,160000,4160000,94.70368008314436
4,D,80,310000,24000000,800000,24800000,99.13253495842784
4,E,47,450000,18800000,2350000,21150000,99.74660668049724
4,F,43,450000,17200000,2150000,19350000,99.63206858970976
4,G,18,450000,7200000,900000,8100000,98.7798668850256
4,H,57,1100000,57000000,5700000,62700000,98.97843152855684
4,I,59,600000,29500000,5900000,35400000,98.97614883995028
4,J,96,600000,48000000,9600000,57600000,99.74150250377927
4,K,14,82000,1120000,28000,1148000,93.38556851311952
4,L,58,102000,5800000,116000,5916000,99.70523170954203
4,M,92,52000,4600000,184000,4784000,99.35397770219198
5,A,17,160000,2550000,170000,2720000,95.55905695611575
5,B,60,210000,12000000,600000,12600000,99.2260330057949
5,C,17,260000,4250000,170000,4420000,98.02532123960694
5,D,87,310000,26100000,870000,26970000,99.05702383124388
5,E,55,450000,22000000,2750000,24750000,99.31371538514394
5,F,48,450000,19200000,2400000,21600000,98.33288060594607
5,G,21,450000,8400000,1050000,9450000,97.94096209912536
5,H,63,1100000,63000000,6300000,69300000,99.38444072514363
5,I,67,600000,33500000,6700000,40200000,99.32092654640628
5,J,107,600000,53500000,10700000,64200000,99.56507265419148
5,K,15,82000,1200000,30000,1230000,96.21441169060216
5,L,64,102000,6400000,128000,6528000,99.26170989229024
5,M,100,52000,5000000,200000,5200000,99.84410430839002
