Year,Process,Total_Installed_Cost,Units,Useful_Life_Years,Annual_Depreciation
2,A,2250000,15,10,225000.0
2,B,9400000,47,10,940000.0
2,C,3250000,13,10,325000.0
2,D,20700000,69,10,2070000.0
2,E,14800000,37,10,1480000.0
2,F,14800000,37,10,1480000.0
2,G,6000000,15,10,600000.0
2,H,48000000,48,10,4800000.0
2,I,23500000,47,10,2350000.0
2,J,40000000,80,10,4000000.0
2,K,880000,11,10,88000.0
2,L,4900000,49,10,490000.0
2,M,3900000,78,10,390000.0
3,A,2400000,16,10,240000.0
3,B,10200000,51,10,1020000.0
3,C,3500000,14,10,350000.0
3,D,22200000,74,10,2220000.0
3,E,16800000,42,10,1680000.0
3,F,16000000,40,10,1600000.0
3,G,6400000,16,10,640000.0
3,H,53000000,53,10,5300000.0
3,I,26500000,53,10,2650000.0
3,J,44000000,88,10,4400000.0
3,K,960000,12,10,96000.0
3,L,5400000,54,10,540000.0
3,M,4250000,85,10,425000.0
4,A,2400000,16,10,240000.0
4,B,11000000,55,10,1100000.0
4,C,4000000,16,10,400000.0
4,D,24000000,80,10,2400000.0
4,E,18800000,47,10,1880000.0
4,F,17200000,43,10,1720000.0
4,G,7200000,18,10,720000.0
4,H,57000000,57,10,5700000.0
4,I,29500000,59,10,2950000.0
4,J,48000000,96,10,4800000.0
4,K,1120000,14,10,112000.0
4,L,5800000,58,10,580000.0
4,M,4600000,92,10,460000.0
5,A,2550000,17,10,255000.0
5,B,12000000,60,10,1200000.0
5,C,4250000,17,10,425000.0
5,D,26100000,87,10,2610000.0
5,E,22000000,55,10,2200000.0
5,F,19200000,48,10,1920000.0
5,G,8400000,21,10,840000.0
5,H,63000000,63,10,6300000.0
5,I,33500000,67,10,3350000.0
5,J,53500000,107,10,5350000.0
5,K,1200000,15,10,120000.0
5,L,6400000,64,10,640000.0
5,M,5000000,100,10,500000.0
