Year,Process,Units_2_Shifts,Hourly_Cost,Annual_Operating_Cost,Utilization_2_Shifts
2,A,15,20.0,1248000.0,97.74974804736708
2,B,47,40.0,7820800.0,99.09327206059729
2,C,13,60.0,3244800.0,97.93447293447292
3,A,16,20.0,1331200.0,94.99893707482993
3,B,51,40.0,8486400.0,99.26424273413068
3,C,14,60.0,3494400.0,99.58596533851636
4,A,16,20.0,1331200.0,98.3574853552532
4,B,55,40.0,9152000.0,99.4103449460592
4,C,16,60.0,3993600.0,94.70368008314436
5,A,17,20.0,1414400.0,95.55905695611575
5,B,60,40.0,9984000.0,99.2260330057949
5,C,17,60.0,4243200.0,98.02532123960694
