Year,Process,Total_In_Flow,Total_Out_Flow
Year 1,A,20961.53846153846,45384.615384615376
Year 1,B,34230.76923076923,68269.23076923077
Year 1,C,63076.92307692308,63076.92307692308
Year 1,D,72307.69230769231,72307.69230769231
Year 1,E,16923.076923076922,83461.53846153847
Year 1,F,58846.15384615386,79615.38461538462
Year 1,G,83461.53846153847,83461.53846153847
Year 1,H,66346.15384615384,39038.46153846154
Year 1,I,105000.00000000001,80384.61538461539
Year 1,J,98461.53846153847,4615.384615384615
Year 1,K,26730.769230769234,43653.846153846156
Year 1,L,36923.07692307692,71730.76923076923
Year 1,M,71730.76923076923,20000.0
