Part,Step,From_Process_Area,From_Center_X_ft,From_Center_Y_ft,To_Process_Area,To_Center_X_ft,To_Center_Y_ft,Distance_ft
P1,1,B,25.0,49.0,A,63.0,25.0,44.94
P1,2,A,63.0,25.0,B2,101.0,49.0,44.94
P1,3,B2,101.0,49.0,C,139.0,19.0,48.41
P1,4,C,139.0,19.0,D,171.0,37.0,36.72
P1,5,D,171.0,37.0,I,204.0,72.0,48.1
P1,6,I,204.0,72.0,J,239.0,108.0,50.21
P1,TOTAL,,,,,,,273.33
P2,1,A,13.0,25.0,C,33.0,13.0,23.32
P2,2,C,33.0,13.0,D,53.0,31.0,26.91
P2,3,D,53.0,31.0,H,80.0,54.0,35.47
P2,4,H,80.0,54.0,J,108.0,90.0,45.61
P2,TOTAL,,,,,,,131.31
P3,1,B,13.0,25.0,D,39.0,31.0,26.68
P3,2,D,39.0,31.0,C,59.0,19.0,23.32
P3,3,C,59.0,19.0,I,80.0,72.0,57.01
P3,4,I,80.0,72.0,J,108.0,72.0,28.0
P3,TOTAL,,,,,,,135.02
P4,1,A,7.0,19.0,B,27.0,25.0,20.88
P4,2,B,27.0,25.0,D,53.0,25.0,26.0
P4,3,D,53.0,25.0,G,77.0,7.5,29.7
P4,4,G,77.0,7.5,H,102.0,54.0,52.79
P4,TOTAL,,,,,,,129.38
P5,1,B,13.0,19.0,C,33.0,13.0,20.88
P5,2,C,33.0,13.0,D,53.0,25.0,23.32
P5,3,D,53.0,25.0,I,80.0,54.0,39.62
P5,TOTAL,,,,,,,83.83
P6,1,A,7.0,13.0,B,21.0,19.0,15.23
P6,2,B,21.0,19.0,C,35.0,13.0,15.23
P6,3,C,35.0,13.0,D,55.0,25.0,23.32
P6,4,D,55.0,25.0,H,75.0,54.0,35.23
P6,5,H,75.0,54.0,I,89.0,54.0,14.0
P6,6,I,89.0,54.0,J,110.0,72.0,27.66
P6,TOTAL,,,,,,,130.67
P7,1,E,22.0,22.5,F,66.0,30.0,44.63
P7,2,F,66.0,30.0,C,95.0,19.0,31.02
P7,3,C,95.0,19.0,D,121.0,37.0,31.62
P7,4,D,121.0,37.0,I,154.0,72.0,48.1
P7,5,I,154.0,72.0,J,182.0,72.0,28.0
P7,TOTAL,,,,,,,183.38
P8,1,E,22.0,22.5,H,58.0,72.0,61.21
P8,2,H,58.0,72.0,J,79.0,36.0,41.68
P8,3,J,79.0,36.0,I,93.0,54.0,22.8
P8,TOTAL,,,,,,,125.69
P9,1,F,22.0,30.0,G,66.0,22.5,44.63
P9,2,G,66.0,22.5,E,110.0,22.5,44.0
P9,3,E,110.0,22.5,G2,154.0,22.5,44.0
P9,4,G2,154.0,22.5,I,190.0,54.0,47.84
P9,5,I,190.0,54.0,J,218.0,90.0,45.61
P9,TOTAL,,,,,,,226.08
P10,1,E,11.0,22.5,F,33.0,22.5,22.0
P10,2,F,33.0,22.5,I,51.0,54.0,36.28
P10,3,I,51.0,54.0,J,72.0,54.0,21.0
P10,TOTAL,,,,,,,79.28
P11,1,E,22.0,37.5,G,55.0,22.5,36.25
P11,2,G,55.0,22.5,E2,88.0,37.5,36.25
P11,3,E2,88.0,37.5,G2,121.0,22.5,36.25
P11,4,G2,121.0,22.5,I,139.0,54.0,36.28
P11,TOTAL,,,,,,,145.03
P12,1,E,22.0,30.0,G,55.0,22.5,33.84
P12,2,G,55.0,22.5,F,88.0,30.0,33.84
P12,3,F,88.0,30.0,I,124.0,72.0,55.32
P12,4,I,124.0,72.0,J,152.0,90.0,33.29
P12,TOTAL,,,,,,,156.29
P13,1,E,11.0,22.5,F,44.0,30.0,33.84
P13,2,F,44.0,30.0,G,77.0,15.0,36.25
P13,3,G,77.0,15.0,F2,110.0,30.0,36.25
P13,4,F2,110.0,30.0,G2,143.0,15.0,36.25
P13,5,G2,143.0,15.0,H,168.0,72.0,62.24
P13,6,H,168.0,72.0,I,189.0,54.0,27.66
P13,TOTAL,,,,,,,232.49
P14,1,E,22.0,30.0,F,66.0,37.5,44.63
P14,2,F,66.0,37.5,G,99.0,22.5,36.25
P14,3,G,99.0,22.5,H,131.0,90.0,74.7
P14,TOTAL,,,,,,,155.58
P15,1,E,11.0,15.0,G,33.0,7.5,23.24
P15,2,G,33.0,7.5,F,55.0,15.0,23.24
P15,3,F,55.0,15.0,H,80.0,54.0,46.32
P15,4,H,80.0,54.0,J,108.0,54.0,28.0
P15,TOTAL,,,,,,,120.81
P16,1,F,22.0,22.5,H,65.0,108.0,95.7
P16,2,H,65.0,108.0,I,100.0,54.0,64.35
P16,3,I,100.0,54.0,J,128.0,72.0,33.29
P16,TOTAL,,,,,,,193.34
P17,1,K,1.5,5.5,L,5.5,10.5,6.4
P17,2,L,5.5,10.5,M,10.5,13.0,5.59
P17,TOTAL,,,,,,,11.99
P18,1,K,2.5,10.5,L,7.5,10.5,5.0
P18,2,L,7.5,10.5,K2,12.5,10.5,5.0
P18,3,K2,12.5,10.5,M,18.5,15.5,7.81
P18,TOTAL,,,,,,,17.81
P19,1,L,4.5,20.5,M,14.5,23.0,10.31
P19,2,M,14.5,23.0,L2,24.5,20.5,10.31
P19,3,L2,24.5,20.5,M2,34.5,23.0,10.31
P19,TOTAL,,,,,,,30.92
P20,1,L,2.5,13.0,K,7.5,8.0,7.07
P20,2,K,7.5,8.0,M,13.5,15.5,9.6
P20,TOTAL,,,,,,,16.68
